Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Health and medical history,X120110.Trouble concentrating over the last two weeks,CHGA,Chromogranin-A,32640,0.150151985085133,0.0324496582482263,0.0865506549186094,0.213753315251657,3.76290226117552e-06
Health and medical history,X120110.Trouble concentrating over the last two weeks,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,32439,0.203217084762274,0.0459432677337521,0.11316828000412,0.293265889520428,9.85303655098083e-06
Health and medical history,X120110.Trouble concentrating over the last two weeks,PIGR,Polymeric immunoglobulin receptor,33974,0.300807375105187,0.0683170843730992,0.166905889733912,0.434708860476461,1.07876678141657e-05
Health and medical history,X120110.Trouble concentrating over the last two weeks,VSIG2,V-set and immunoglobulin domain-containing protein 2,32596,0.213911897903197,0.0510113731914369,0.113929606447981,0.313894189358414,2.77696341866651e-05
Health and medical history,X120110.Trouble concentrating over the last two weeks,GAST,Gastrin,32646,0.0909537023666441,0.0221334220624553,0.0475721951242317,0.134335209609056,4.00663196669353e-05
Health and medical history,X120110.Trouble concentrating over the last two weeks,TNR,Tenascin-R,34009,-0.221135303023846,0.0547625581925271,-0.328469917081199,-0.113800688966493,5.43128158774091e-05
Health and medical history,X120110.Trouble concentrating over the last two weeks,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,32405,0.275001715225486,0.071086964254342,0.135671265286976,0.414332165163997,0.000110369923993739
Health and medical history,X120110.Trouble concentrating over the last two weeks,SMOC1,SPARC-related modular calcium-binding protein 1,34152,0.265960583026555,0.069553589843832,0.129635546932644,0.402285619120465,0.000132221345709934
Health and medical history,X120110.Trouble concentrating over the last two weeks,CXADR,Coxsackievirus and adenovirus receptor,34053,0.16068357725421,0.0426334302865322,0.0771220538926069,0.244245100615813,0.000164913050016075
Health and medical history,X120110.Trouble concentrating over the last two weeks,ASGR1,Asialoglycoprotein receptor 1,34009,0.301915315030859,0.0804427882332107,0.144247450093766,0.459583179967952,0.000175648038161137
Health and medical history,X120110.Trouble concentrating over the last two weeks,ITGAV,Integrin alpha-V,34152,-0.526567851419221,0.140335107140839,-0.801624661415265,-0.251511041423178,0.000176299309854274
Health and medical history,X120110.Trouble concentrating over the last two weeks,MERTK,Tyrosine-protein kinase Mer,34179,0.32941627569192,0.0883682701092531,0.156214466277784,0.502618085106056,0.000194280251546916
Health and medical history,X120110.Trouble concentrating over the last two weeks,PRSS8,Prostasin,34045,0.221870008181466,0.0597511310848493,0.104757791255162,0.338982225107771,0.000205786475380105
Health and medical history,X120110.Trouble concentrating over the last two weeks,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,32634,0.139569859455837,0.0376200750481995,0.0658345123613658,0.213305206550308,0.000208646299158142
Health and medical history,X120110.Trouble concentrating over the last two weeks,GPRC5C,G-protein coupled receptor family C group 5 member C,32596,0.166454176200689,0.044897037333219,0.0784559830275801,0.254452369373799,0.000210734917975353
Health and medical history,X120110.Trouble concentrating over the last two weeks,CCL19,C-C motif chemokine 19,34168,0.0626934653863052,0.0169443133567165,0.0294826112071409,0.0959043195654696,0.000216814924010584
Health and medical history,X120110.Trouble concentrating over the last two weeks,EGFR,Epidermal growth factor receptor,34201,-0.515980707868626,0.141519416954792,-0.793358765100018,-0.238602650637233,0.000267734327228203
Health and medical history,X120110.Trouble concentrating over the last two weeks,GDF15,Growth/differentiation factor 15,34201,0.208466032420854,0.0579080002854746,0.0949663518613243,0.321965712980385,0.000319855960601958
Health and medical history,X120110.Trouble concentrating over the last two weeks,LGALS4,Galectin-4,34080,0.16050978244883,0.0448416382422066,0.0726201714941049,0.248399393403555,0.000345971846117456
Health and medical history,X120110.Trouble concentrating over the last two weeks,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,34112,-0.180835259127055,0.0509878190992263,-0.280771384561539,-0.0808991336925717,0.000392031479475748
Health and medical history,X120110.Trouble concentrating over the last two weeks,IGFBP4,Insulin-like growth factor-binding protein 4,33975,0.216754728977284,0.0612657784220679,0.0966738032700312,0.336835654684537,0.000405180344870633
Health and medical history,X120110.Trouble concentrating over the last two weeks,PDRG1,p53 and DNA damage-regulated protein 1,32437,-0.195192893370993,0.0559375435166573,-0.304830478663641,-0.0855553080783443,0.000486574497550152
Health and medical history,X120110.Trouble concentrating over the last two weeks,AGR2,Anterior gradient protein 2 homolog,33769,0.0800416034477756,0.022975490956341,0.0350096411733472,0.125073565722204,0.00049665386076049
Health and medical history,X120110.Trouble concentrating over the last two weeks,CLEC4A,C-type lectin domain family 4 member A,34053,-0.230351935561337,0.0662527763098068,-0.360207377128559,-0.100496493994116,0.000509559486623916
Health and medical history,X120110.Trouble concentrating over the last two weeks,CA6,Carbonic anhydrase 6,34056,-0.124162752564303,0.0361340198626222,-0.194985431495042,-0.053340073633563,0.000592492193155987
Health and medical history,X120110.Trouble concentrating over the last two weeks,ANXA10,Annexin A10,33845,0.101536502588639,0.029703838759662,0.0433169786197011,0.159756026557576,0.000632822406720662
Health and medical history,X120110.Trouble concentrating over the last two weeks,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,34009,0.185982125330679,0.0558074854397413,0.0765994538687859,0.295364796792572,0.000863758822402902
Health and medical history,X120110.Trouble concentrating over the last two weeks,AREG,Amphiregulin,34024,0.148474485743378,0.0447610122805965,0.0607429016734084,0.236206069813347,0.00091312598892568
Health and medical history,X120110.Trouble concentrating over the last two weeks,RBFOX3,RNA binding protein fox-1 homolog 3,32640,0.235760435482669,0.0711113924713497,0.0963821062388237,0.375138764726514,0.000919206379378408
Health and medical history,X120110.Trouble concentrating over the last two weeks,IL18R1,Interleukin-18 receptor 1,34179,0.230655383675136,0.0701052831345796,0.0932490287313596,0.368061738618912,0.00100498004749765
Health and medical history,X120110.Trouble concentrating over the last two weeks,PRELP,Prolargin,34080,0.347819932790292,0.106035071911089,0.139991191844557,0.555648673736027,0.00104089459326135
Health and medical history,X120110.Trouble concentrating over the last two weeks,GFRA1,GDNF family receptor alpha-1,34139,0.282348693521386,0.0864148419795613,0.112975603241446,0.451721783801326,0.00108932252588252
Health and medical history,X120110.Trouble concentrating over the last two weeks,IGLC2,Immunoglobulin lambda constant 2,32646,0.338320408474502,0.104168655013464,0.134149844648111,0.542490972300892,0.00116763655949662
Health and medical history,X120110.Trouble concentrating over the last two weeks,CRELD1,Protein disulfide isomerase CRELD1,32474,0.241061309621234,0.074487125370544,0.0950665438949682,0.387056075347501,0.00121589539815857
Health and medical history,X120110.Trouble concentrating over the last two weeks,RAB6A,Ras-related protein Rab-6A,34053,-0.157768948703826,0.0487821513003004,-0.253381965252415,-0.0621559321552375,0.00122416785183851
Health and medical history,X120110.Trouble concentrating over the last two weeks,TREM2,Triggering receptor expressed on myeloid cells 2,34080,0.150808321845538,0.0467204441525125,0.0592362513066137,0.242380392384463,0.00125125892340442
Health and medical history,X120110.Trouble concentrating over the last two weeks,ADAMTSL4,ADAMTS-like protein 4,32439,0.381418144342542,0.119864200617529,0.146484311132186,0.616351977552898,0.00146778826609911
Health and medical history,X120110.Trouble concentrating over the last two weeks,ITGB5,Integrin beta-5,34112,-0.197988514592401,0.0622308855390209,-0.319961050248881,-0.0760159789359197,0.00146970478267972
Health and medical history,X120110.Trouble concentrating over the last two weeks,B4GALT1,"Beta-1,4-galactosyltransferase 1",34127,0.268261898771733,0.0857918557176916,0.100109861565057,0.436413935978408,0.00177188387582782
Health and medical history,X120110.Trouble concentrating over the last two weeks,OBP2B,Odorant-binding protein 2b,33979,-0.108519175295692,0.0347398695293656,-0.176609319573249,-0.0404290310181357,0.00179088884776393
Health and medical history,X120110.Trouble concentrating over the last two weeks,BST2,Bone marrow stromal antigen 2,34168,0.134958867374105,0.0434006670804972,0.0498935598963302,0.220024174851879,0.00187880562453243
Health and medical history,X120110.Trouble concentrating over the last two weeks,RBP5,Retinol-binding protein 5,34024,0.132113230081445,0.0425322675197166,0.0487499857428005,0.215476474420089,0.00190070271658079
Health and medical history,X120110.Trouble concentrating over the last two weeks,CNDP1,Beta-Ala-His dipeptidase,34113,-0.153599063188556,0.0494996475066159,-0.250618372301524,-0.0565797540755892,0.0019210093696488
Health and medical history,X120110.Trouble concentrating over the last two weeks,VSIG4,V-set and immunoglobulin domain-containing protein 4,34069,0.19531621930784,0.0632093813347944,0.0714258318916426,0.319206606724036,0.00200736270732428
Health and medical history,X120110.Trouble concentrating over the last two weeks,CTSL,Cathepsin L1,34082,0.308861459115074,0.100001041730348,0.112859417323591,0.504863500906557,0.00201686456428505
Health and medical history,X120110.Trouble concentrating over the last two weeks,IL10,Interleukin-10,33866,0.0816481766818896,0.0267247824180146,0.029267603142581,0.134028750221198,0.00225578665089867
Health and medical history,X120110.Trouble concentrating over the last two weeks,NEFL,Neurofilament light polypeptide,33810,0.174355230094928,0.0576964514576745,0.0612701852378859,0.28744027495197,0.00251839424896657
Health and medical history,X120110.Trouble concentrating over the last two weeks,ICAM4,Intercellular adhesion molecule 4,34053,-0.128423249616873,0.0425740154458897,-0.211868319890817,-0.0449781793429295,0.00256406065266008
Health and medical history,X120110.Trouble concentrating over the last two weeks,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,34184,0.257680100945269,0.0856280559235035,0.0898491113352022,0.425511090555336,0.00262525166424791
Health and medical history,X120110.Trouble concentrating over the last two weeks,LGALS9,Galectin-9,34076,0.219984357341374,0.0732798689985894,0.0763558141041391,0.363612900578609,0.00268922477964186
Health and medical history,X120110.Trouble concentrating over the last two weeks,CDCP1,CUB domain-containing protein 1,34009,0.149806793762214,0.0499082454873338,0.0519866326070399,0.247626954917388,0.00269219711762145
Health and medical history,X120110.Trouble concentrating over the last two weeks,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,32601,0.253840384914245,0.0851017356236646,0.0870409830918621,0.420639786736627,0.00286482356453368
Health and medical history,X120110.Trouble concentrating over the last two weeks,CD83,CD83 antigen,34053,0.211950266888976,0.0711799098548022,0.0724376435735638,0.351462890204389,0.00291174228839377
