Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,ADIPOQ,Adiponectin,38013,-0.245000324330048,0.00601763047543851,-0.256794880061907,-0.233205768598188,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,AGRP,Agouti-related protein,40516,0.273092660148497,0.00462057293285897,0.264036337200094,0.282148983096901,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CCN1,CCN family member 1,40280,0.362762246806089,0.00686795185822319,0.349301061163971,0.376223432448206,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CD4,T-cell surface glycoprotein CD4,40309,0.113110491003784,0.00277007600353734,0.107681142036851,0.118539839970717,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CES1,Liver carboxylesterase 1,40352,0.274962648364381,0.00694382175947785,0.261352757715805,0.288572539012958,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,FURIN,Furin,40411,0.123193339558982,0.00306185639149175,0.117192101031658,0.129194578086306,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,GCG,Pro-glucagon,39980,0.497097237682106,0.0112278503679741,0.475090650960877,0.519103824403335,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,GPR37,Prosaposin receptor GPR37,40042,0.242654775286693,0.00611581644422736,0.230667775056007,0.254641775517379,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,HHEX,Hematopoietically-expressed homeobox protein HHEX,37942,0.281452808350406,0.00681034804368661,0.26810452618478,0.294801090516032,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,LDLR,Low-density lipoprotein receptor,40356,0.387849545123816,0.0039478866401117,0.380111687309197,0.395587402938435,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,MFGE8,Lactadherin,40332,0.214438948929527,0.00365435400295489,0.207276415083736,0.221601482775319,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,NPY,Pro-neuropeptide Y,40489,0.313189782646703,0.00586518180483012,0.301694026309236,0.32468553898417,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,PLTP,Phospholipid transfer protein,40461,-0.124104173283908,0.00311847674980014,-0.130216387713517,-0.1179919588543,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,PON3,Serum paraoxonase/lactonase 3,40422,-0.0984543391499316,0.00249832867707578,-0.103351063357,-0.0935576149428631,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,PRAP1,Proline-rich acidic protein 1,37998,0.156167213627381,0.0038299812677886,0.148660450342515,0.163673976912247,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,RARRES2,Retinoic acid receptor responder protein 2,40424,0.166177414295542,0.00420760297213051,0.157930512470166,0.174424316120918,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,SMOC1,SPARC-related modular calcium-binding protein 1,40489,0.121038212877656,0.0030008045827306,0.115156635895504,0.126919789859808,0
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,LPL,Lipoprotein lipase,40359,-0.16192353937234,0.0041882858037696,-0.170132579547728,-0.153714499196951,1.11260359320696e-308
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,ASGR1,Asialoglycoprotein receptor 1,40228,0.101807170918229,0.0026801760020397,0.0965540259542315,0.107060315882227,3.41957436596845e-302
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,VMO1,Vitelline membrane outer layer protein 1 homolog,40305,0.23213646572893,0.00617894620789948,0.220025731161447,0.244247200296413,5.52673598054536e-296
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,40489,0.119281472267887,0.00317725506563174,0.113054052339249,0.125508892196525,1.00497135702399e-295
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,PTH,Parathyroid hormone,37572,0.261284313488273,0.00721405569310029,0.247144764329797,0.27542386264675,7.35848504068892e-274
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CCL27,C-C motif chemokine 27,40359,0.196831449586419,0.00546173846426055,0.186126442196469,0.20753645697637,1.83339202261051e-273
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CCL23,C-C motif chemokine 23,40422,0.135358688178727,0.00376426413166042,0.127980730480672,0.142736645876781,2.34918664934204e-272
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,TMPRSS15,Enteropeptidase,40305,0.30255900361384,0.00845714382688349,0.285983001713149,0.319135005514532,1.22982019692254e-269
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,NOS3,"Nitric oxide synthase, endothelial",39961,0.176820198413406,0.00502857241392431,0.166964196482114,0.186676200344698,1.11573594805639e-260
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,IGSF9,Protein turtle homolog A,37990,0.249121678840719,0.00732060947364127,0.234773284272382,0.263470073409056,1.25406954380704e-243
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,BPIFB1,BPI fold-containing family B member 1,40261,-0.192846683803562,0.00568659935784897,-0.203992418544946,-0.181700949062178,2.09258890322768e-243
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,IL1RN,Interleukin-1 receptor antagonist protein,40313,0.170998757047008,0.00508012612088846,0.161041709850067,0.180955804243949,5.59615755225429e-240
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,37990,0.224988585431793,0.00668682638402368,0.211882405719107,0.23809476514448,2.00027577804805e-238
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,40160,0.141843200204414,0.00424272458462364,0.133527460018552,0.150158940390276,8.54370690736057e-237
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,40042,0.167412400348936,0.00502918480441357,0.157555198132285,0.177269602565586,8.69653618208264e-235
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,NRP1,Neuropilin-1,40424,-0.0862733602026121,0.00260579845340348,-0.0913807251712829,-0.0811659952339413,1.51872896822299e-232
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,DEFB4A_DEFB4B,Beta-defensin 4A,40141,0.451484367087751,0.0136799014401705,0.424671760265017,0.478296973910486,5.29076179465038e-231
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,40403,0.128088046661362,0.00389574772338954,0.120452381123519,0.135723712199206,1.86080062486538e-229
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CRIP2,Cysteine-rich protein 2,40228,0.109048365716124,0.00333855465558616,0.102504798591175,0.115591932841073,1.68313427967643e-226
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CXCL13,C-X-C motif chemokine 13,40471,0.190797438817617,0.00586027143926925,0.17931130679665,0.202283570838585,3.31332939201236e-225
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,F7,Coagulation factor VII,40376,0.0898096678271936,0.0027723048839693,0.0843759502546138,0.0952433853997734,5.16800290890365e-223
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,DSG2,Desmoglein-2,40332,-0.0806890893744633,0.00249369691443417,-0.0855767353267543,-0.0758014434221723,1.71936993869413e-222
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,SMAD1,Mothers against decapentaplegic homolog 1,39980,0.239272030727155,0.00744039288216311,0.224688860678115,0.253855200776194,1.00647279078436e-219
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,RTN4R,Reticulon-4 receptor,40489,0.100191560544139,0.00313584129544339,0.0940453116050703,0.106337809483208,3.22893443269679e-217
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,DNAJB1,DnaJ homolog subfamily B member 1,40305,0.258604466262584,0.00812924416177003,0.242671147705514,0.274537784819653,2.47036828492643e-215
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CREG1,Protein CREG1,40145,0.105588518112153,0.00333388243565265,0.0990541085382739,0.112122927686032,1.89542098087545e-213
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,40305,0.0892352473339904,0.0028523974114963,0.0836445484074576,0.0948259462605231,1.57663222944406e-208
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CPM,Carboxypeptidase M,40415,0.0989606613835166,0.00317346826086438,0.0927406635922225,0.105180659174811,2.76999190947407e-207
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,GUSB,Beta-glucuronidase,40419,0.16872730626109,0.00541863560091904,0.158106780483289,0.179347832038891,1.0495382643068e-206
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,GHR,Growth hormone receptor,37671,0.0829139086602348,0.00267230325807478,0.0776761942744083,0.0881516230460614,4.38988694515634e-204
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,40042,0.239954557589628,0.00780536942292637,0.224656033520693,0.255253081658564,1.52671447608802e-201
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,CDKN1A,Cyclin-dependent kinase inhibitor 1,40305,0.298857942550263,0.00972629438800477,0.279794405549774,0.317921479550752,1.91771717495448e-201
NMR metabolomics,X23643.Triglycerides to Total Lipids in Medium HDL percentage,MXRA8,Matrix remodeling-associated protein 8,37671,-0.0853260912507085,0.00283161591714262,-0.090876058448308,-0.0797761240531089,5.49530109071841e-193
