Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,BGLAP,Osteocalcin,48241,-0.0777248241349698,0.00678686241435857,-0.0910270744671126,-0.064422573802827,2.75098464139713e-30
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,IL1B,Interleukin-1 beta,51075,0.0354161297932208,0.00428139180614695,0.0270246018531727,0.0438076577332688,1.37693551648347e-16
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,LAMP3,Lysosome-associated membrane glycoprotein 3,51995,-0.0281383658954147,0.00379761340698331,-0.035581688173102,-0.0206950436177274,1.30429817147766e-13
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,LAT2,Linker for activation of T-cells family member 2,51638,0.0675066424099408,0.00919382582554365,0.0494867437918752,0.0855265410280063,2.15352818438255e-13
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,RABGAP1L,Rab GTPase-activating protein 1-like,51205,0.0331697407546081,0.00455725358685954,0.0242375237243634,0.0421019577848528,3.46979371088572e-13
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,CASP8,Caspase-8,51901,0.0339962993702485,0.0047028594958892,0.0247786947583057,0.0432139039821914,4.99796834203986e-13
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,SF3B4,Splicing factor 3B subunit 4,51638,0.0403748832360936,0.00561101784518208,0.0293772882595367,0.0513724782126505,6.37767435079035e-13
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,PSMG3,Proteasome assembly chaperone 3,51710,0.0282306454662432,0.00394497082256299,0.0204985026540197,0.0359627882784667,8.50955898512365e-13
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,STAMBP,STAM-binding protein,51515,0.0345605135131299,0.00484406170658726,0.0250661525682189,0.044054874458041,9.94995658430165e-13
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,51852,0.0281331389894735,0.00398330427828412,0.0203258626040367,0.0359404153749104,1.67116610022528e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,STIP1,Stress-induced-phosphoprotein 1,51718,0.0346751826345283,0.00494604500721887,0.0249809344203793,0.0443694308486773,2.42668925806871e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,CRKL,Crk-like protein,51806,0.0557413154899862,0.00798800992534843,0.0400848160363033,0.0713978149436691,3.05965055623139e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,47571,0.0251435334973093,0.00362395858587032,0.0180405746690035,0.0322464923256151,4.07781831486677e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,NSFL1C,NSFL1 cofactor p47,51991,0.0348874361651606,0.00503581073413876,0.0250172471262486,0.0447576252040726,4.36621762110936e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,LYN,Tyrosine-protein kinase Lyn,51638,0.0436810552928782,0.00633730836250662,0.0312599309023653,0.0561021796833912,5.59452379257974e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,TNFSF14,Tumor necrosis factor ligand superfamily member 14,51566,0.0296421051472839,0.00433453113431276,0.0211464241240309,0.0381377861705369,8.16702408325552e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,YOD1,Ubiquitin thioesterase OTU1,47489,0.0327371385210668,0.00478775903954665,0.0233531308035553,0.0421211462385782,8.25013021643191e-12
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,ATXN3,Ataxin-3,48192,0.0318873354744053,0.00468871366385474,0.02269745669325,0.0410772142555606,1.06457414960858e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",51901,0.0381325324882222,0.00564914467039623,0.0270602089342456,0.0492048560421988,1.50639816145372e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,AK1,Adenylate kinase isoenzyme 1,51756,0.0327293981536195,0.00489991161650928,0.0231255713852613,0.0423332249219777,2.44212473507317e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,APRT,Adenine phosphoribosyltransferase,51527,0.024100357391379,0.00362819846279715,0.0169890884042966,0.0312116263784614,3.14219125138205e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,PPME1,Protein phosphatase methylesterase 1,51638,0.0310124142938235,0.00466892183314167,0.0218613275008658,0.0401635010867812,3.14634113246535e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,SUGT1,Protein SGT1 homolog,51113,0.0402108118743238,0.00608409270866624,0.0282859901653379,0.0521356335833096,3.93765240769029e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,UBAC1,Ubiquitin-associated domain-containing protein 1,51638,0.0178566706162121,0.00270202772450673,0.0125606962761789,0.0231526449562452,3.95093569951501e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,CIAPIN1,Anamorsin,51851,0.031454079153407,0.00477991371418215,0.02208544827361,0.040822710033204,4.77420458739731e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,OLR1,Oxidized low-density lipoprotein receptor 1,51492,0.0296444107623692,0.00451248287597548,0.0207999443254573,0.0384888771992811,5.14274495238226e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",47585,0.0391116674532774,0.00595765580706122,0.0274346620714374,0.0507886728351174,5.31560714043438e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,SMAD3,Mothers against decapentaplegic homolog 3,48106,0.0247455678241779,0.00378035299202807,0.0173360759598029,0.0321550596885529,6.03756778759808e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,GFER,FAD-linked sulfhydryl oxidase ALR,51113,0.0314129648202383,0.00480341983760064,0.0219982619385411,0.0408276677019356,6.27538508487947e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,GMPR,GMP reductase 1,52041,0.0251512427666076,0.00385017343001611,0.0176049028437761,0.0326975826894392,6.58079217897005e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,IGBP1,Immunoglobulin-binding protein 1,48203,0.0299160377527628,0.0045851611635017,0.0209291218722995,0.0389029536332262,6.95872051121007e-11
Working and living environment,X24019.Particulate matter air pollution (pm10); 2007,DFFA,DNA fragmentation factor subunit alpha,52041,0.0332123567876199,0.00509299777717136,0.023230081144364,0.0431946324308757,7.09617027250273e-11
