Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0032944,GO:0032944,regulation of mononuclear cell proliferation,10/83,233/18800,7.77436275526014e-08,0.0001809094213149,0.0001193978448413,CD74/CSF1/EPO/IGFBP2/LGALS9/TGFBR2/TNFRSF14/TNFRSF1B/TNFRSF4/VSIG4,10
GO:0044278,GO:0044278,cell wall disruption in another organism,3/83,4/18800,3.30859971443603e-07,0.000256637051183,0.0001693770871355,REG1A/REG1B/REG3A,3
GO:0050670,GO:0050670,regulation of lymphocyte proliferation,9/83,230/18800,7.86587107740815e-07,0.0003732057886761,0.0002463109246956,CD74/EPO/IGFBP2/LGALS9/TGFBR2/TNFRSF14/TNFRSF1B/TNFRSF4/VSIG4,9
GO:0032943,GO:0032943,mononuclear cell proliferation,10/83,300/18800,8.01903284650141e-07,0.0003732057886761,0.0002463109246956,CD74/CSF1/EPO/IGFBP2/LGALS9/TGFBR2/TNFRSF14/TNFRSF1B/TNFRSF4/VSIG4,10
GO:0002696,GO:0002696,positive regulation of leukocyte activation,11/83,421/18800,2.36546997264206e-06,0.0007005295828384,0.0004623403349065,B2M/CD27/CD74/CLEC4D/EPO/IGFBP2/LGALS9/NECTIN2/TGFBR2/TNFRSF14/TNFRSF4,11
GO:0050863,GO:0050863,regulation of T cell activation,10/83,342/18800,2.60898297861018e-06,0.0007005295828384,0.0004623403349065,B2M/CD27/CD74/EPO/IGFBP2/LGALS9/TGFBR2/TNFRSF14/TNFRSF1B/VSIG4,10
GO:0042098,GO:0042098,T cell proliferation,8/83,204/18800,3.29225926014492e-06,0.0007005295828384,0.0004623403349065,EPO/IGFBP2/LGALS9/TGFBR2/TNFRSF14/TNFRSF1B/TNFRSF4/VSIG4,8
GO:0050867,GO:0050867,positive regulation of cell activation,11/83,436/18800,3.31148492102391e-06,0.0007005295828384,0.0004623403349065,B2M/CD27/CD74/CLEC4D/EPO/IGFBP2/LGALS9/NECTIN2/TGFBR2/TNFRSF14/TNFRSF4,11
GO:0045785,GO:0045785,positive regulation of cell adhesion,11/83,446/18800,4.11321499696129e-06,0.000797620941494,0.0005264193579444,AGR2/B2M/CD27/CD74/CSF1/EPO/FSTL3/IGFBP2/LGALS9/TGFBR2/TNFRSF14,11
GO:0070228,GO:0070228,regulation of lymphocyte apoptotic process,5/83,57/18800,5.19186133059326e-06,0.0008691917493157,0.0005736551522184,CD27/CD74/EFNA1/LGALS9/PDCD1,5
GO:0050870,GO:0050870,positive regulation of T cell activation,8/83,223/18800,6.34991823737343e-06,0.0008691917493157,0.0005736551522184,B2M/CD27/CD74/EPO/IGFBP2/LGALS9/TGFBR2/TNFRSF14,8
GO:0007159,GO:0007159,leukocyte cell-cell adhesion,10/83,381/18800,6.77884241676472e-06,0.000876353683545,0.0005783819348572,B2M/CD27/CD74/EPO/IGFBP2/LGALS9/TGFBR2/TNFRSF14/UMOD/VSIG4,10
GO:0009991,GO:0009991,response to extracellular stimulus,11/83,479/18800,8.09142657425235e-06,0.0009868991065828,0.0006513404638926,ASGR1/DSC2/EPO/FGF21/FGF23/GAST/GDF15/IGFBP2/SCT/SPINK1/TGFBR2,11
GO:0002274,GO:0002274,myeloid leukocyte activation,8/83,232/18800,8.48215820011007e-06,0.0009868991065828,0.0006513404638926,CD74/CHGA/CLEC4D/CSF1/LGALS9/NECTIN2/TGFBR2/VSIG4,8
GO:0051048,GO:0051048,negative regulation of secretion,7/83,167/18800,9.06182699576658e-06,0.0010041367342451,0.0006627170720212,CD74/CHGA/FGF23/LGALS9/SCT/TNFRSF1A/TNFRSF1B,7
GO:0050730,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,8/83,261/18800,1.99030571307363e-05,0.0017400484584705,0.0011484091560892,AREG/CD74/EFNA1/EPO/GFRA1/SPINK1/TNFRSF14/TNFRSF1A,8
