Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0010625,GO:0010625,positive regulation of Schwann cell proliferation,1/1,3/18800,0.0001595744680851,0.0041888297872332,,GFAP,1
GO:0070777,GO:0070777,D-aspartate transport,1/1,5/18800,0.0002659574468084,0.0041888297872332,,GFAP,1
GO:0070779,GO:0070779,D-aspartate import across plasma membrane,1/1,5/18800,0.0002659574468084,0.0041888297872332,,GFAP,1
GO:0042940,GO:0042940,D-amino acid transport,1/1,7/18800,0.0003723404255319,0.0041888297872332,,GFAP,1
GO:1904714,GO:1904714,regulation of chaperone-mediated autophagy,1/1,8/18800,0.0004255319148934,0.0041888297872332,,GFAP,1
GO:0010624,GO:0010624,regulation of Schwann cell proliferation,1/1,9/18800,0.0004787234042553,0.0041888297872332,,GFAP,1
GO:0060020,GO:0060020,Bergmann glial cell differentiation,1/1,9/18800,0.0004787234042553,0.0041888297872332,,GFAP,1
GO:0014010,GO:0014010,Schwann cell proliferation,1/1,10/18800,0.0005319148936169,0.0041888297872332,,GFAP,1
GO:0061684,GO:0061684,chaperone-mediated autophagy,1/1,16/18800,0.0008510638297872,0.0051789168278537,,GFAP,1
GO:0051580,GO:0051580,regulation of neurotransmitter uptake,1/1,17/18800,0.000904255319149,0.0051789168278537,,GFAP,1
GO:0015740,GO:0015740,C4-dicarboxylate transport,1/1,28/18800,0.0014893617021275,0.0077332242225861,,GFAP,1
GO:0031102,GO:0031102,neuron projection regeneration,1/1,59/18800,0.0031382978723404,0.010405935050392,,GFAP,1
GO:0045109,GO:0045109,intermediate filament organization,1/1,68/18800,0.003617021276596,0.0108510638297881,,GFAP,1
GO:0045103,GO:0045103,intermediate filament-based process,1/1,89/18800,0.0047340425531915,0.0115553925165078,,GFAP,1
GO:0060291,GO:0060291,long-term synaptic potentiation,1/1,98/18800,0.0052127659574469,0.0115553925165078,,GFAP,1
GO:0010977,GO:0010977,negative regulation of neuron projection development,1/1,136/18800,0.0072340425531914,0.0147014413177763,,GFAP,1
GO:0031099,GO:0031099,regeneration,1/1,188/18800,0.01,0.0165789473684211,,GFAP,1
GO:0031345,GO:0031345,negative regulation of cell projection organization,1/1,188/18800,0.01,0.0165789473684211,,GFAP,1
GO:0098739,GO:0098739,import across plasma membrane,1/1,188/18800,0.01,0.0165789473684211,,GFAP,1
GO:0006836,GO:0006836,neurotransmitter transport,1/1,207/18800,0.0110106382978725,0.0173008411677388,,GFAP,1
GO:0001505,GO:0001505,regulation of neurotransmitter levels,1/1,213/18800,0.0113297872340425,0.0173008411677388,,GFAP,1
GO:0098657,GO:0098657,import into cell,1/1,238/18800,0.0126595744680852,0.0181262088974856,,GFAP,1
GO:0051962,GO:0051962,positive regulation of nervous system development,1/1,270/18800,0.0143617021276597,0.0196692876965775,,GFAP,1
GO:0010720,GO:0010720,positive regulation of cell development,1/1,297/18800,0.0157978723404254,0.0199774959083468,,GFAP,1
GO:0030198,GO:0030198,extracellular matrix organization,1/1,307/18800,0.0163297872340428,0.0199774959083468,,GFAP,1
GO:0043062,GO:0043062,extracellular structure organization,1/1,308/18800,0.0163829787234042,0.0199774959083468,,GFAP,1
GO:0045229,GO:0045229,external encapsulating structure organization,1/1,310/18800,0.0164893617021276,0.0199774959083468,,GFAP,1
GO:0010506,GO:0010506,regulation of autophagy,1/1,336/18800,0.0178723404255319,0.0208510638297872,,GFAP,1
GO:0043254,GO:0043254,regulation of protein-containing complex assembly,1/1,401/18800,0.0213297872340428,0.0231685619955982,,GFAP,1
