Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050900,GO:0050900,leukocyte migration,59/449,384/18800,9.25271765457444e-31,5.27312379134198e-27,3.28325381195478e-27,B4GALT1/BSG/CALCA/CCL11/CCL14/CCL15/CCL16/CCL17/CCL18/CCL20/CCL21/CCL22/CCL23/CCL25/CCL27/CCL3/CCL7/CCN3/CD34/CD74/CD99L2/CHGA/CSF1/CXADR/CXCL10/CXCL11/CXCL13/CXCL16/CXCL17/CXCL9/EDN1/F11R/ICAM1/IL6/JAM2/KIT/LEP/LGALS3/LGALS9/LGMN/MDK/MMP9/NBL1/PGF/PTN/RARRES2/SCG2/SERPINE1/SLAMF8/THY1/TNF/TNFRSF11A/TNFRSF14/TREM2/UMOD/VCAM1/VEGFA/XCL1/XG,59
GO:0030595,GO:0030595,leukocyte chemotaxis,44/449,236/18800,1.12172164082997e-26,2.13089721036334e-23,1.3267802285045101e-23,BSG/CALCA/CCL11/CCL14/CCL15/CCL16/CCL17/CCL18/CCL20/CCL21/CCL22/CCL23/CCL25/CCL27/CCL3/CCL7/CCN3/CD74/CHGA/CSF1/CXADR/CXCL10/CXCL11/CXCL13/CXCL16/CXCL17/CXCL9/EDN1/IL6/KIT/LGALS3/LGALS9/LGMN/MDK/NBL1/PGF/PTN/RARRES2/SCG2/SERPINE1/SLAMF8/TNFRSF11A/VEGFA/XCL1,44
GO:0045785,GO:0045785,positive regulation of cell adhesion,58/449,446/18800,2.39201454534836e-26,3.40802272348508e-23,2.1219686927287702e-23,ADAM9/ADGRG1/AGR2/APOA1/B2M/CCDC80/CCL21/CCL25/CCN1/CD160/CD27/CD274/CD4/CD46/CD5/CD74/CD80/CD83/CEACAM6/CSF1/CXCL13/EPHA1/F11R/FGA/FSTL3/HAVCR2/HLA-E/HYAL1/IL12B/IL12RB1/IL15/IL18/IL2RA/IL4R/IL6/ITGA5/ITGAV/LEP/LGALS1/LGALS9/LILRB4/MDK/NPY/P4HB/PLAUR/PRSS2/RNASE10/SFRP1/SIRPB1/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/VCAM1/VEGFA/VWC2/XCL1,58
GO:0043410,GO:0043410,positive regulation of MAPK cascade,58/449,491/18800,3.53356508085887e-24,2.87682677083067e-21,1.79122524625192e-21,ACTA2/ADAM9/BMPER/CCL11/CCL14/CCL15/CCL16/CCL17/CCL18/CCL20/CCL21/CCL22/CCL23/CCL25/CCL3/CCL7/CD27/CD4/CD40/CD74/CDH2/CHI3L1/CLEC7A/CXCL17/EDA2R/EDN1/EFNA1/EGFR/FGA/FGF21/FGF23/FGFR2/GCG/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IGFBP6/IL6/KIT/LEP/LGALS9/LILRA5/LTBR/MMP8/NPY/NTRK3/OSM/TGFA/TGFB1/TNF/TNFRSF11A/TNFRSF19/TREM2/VEGFA/XCL1,58
GO:0019221,GO:0019221,cytokine-mediated signaling pathway,56/449,486/18800,7.87265382152995e-23,4.9851393476554705e-20,3.1039433955997004e-20,APOA1/CCL11/CCL14/CCL15/CCL16/CCL17/CCL18/CCL20/CCL21/CCL22/CCL23/CCL25/CCL3/CCL7/CD300LF/CD4/CD74/CSF1/CXCL10/CXCL11/CXCL13/CXCL9/EDA2R/EDN1/FAS/IL10RB/IL12B/IL12RB1/IL15/IL15RA/IL18/IL18R1/IL1RN/IL2RA/IL4R/IL6/KIT/KRT18/LEP/LILRA5/LILRB4/MMP12/OSM/P4HB/TFF2/TNF/TNFRSF11A/TNFRSF14/TNFRSF19/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFSF13B/TREM2/XCL1/YAP1,56
GO:0034612,GO:0034612,response to tumor necrosis factor,40/449,249/18800,7.98580260439635e-22,4.1373717311322605e-19,2.57609000760001e-19,ADAM9/APOA1/CALCA/CCL11/CCL14/CCL15/CCL16/CCL17/CCL18/CCL20/CCL21/CCL22/CCL23/CCL25/CCL3/CCL7/CD14/CD40/CHI3L1/CRHBP/CXCL16/EDA2R/EDN1/FABP4/FAS/HYAL1/IL18BP/KRT18/SFRP1/SMPD1/TNF/TNFRSF11A/TNFRSF14/TNFRSF19/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFSF13B/VCAM1/XCL1,40
GO:0002687,GO:0002687,positive regulation of leukocyte migration,30/449,141/18800,2.9953104187784e-20,1.3130980058937e-17,8.17586349935382e-18,CCL20/CCL21/CCL27/CCL3/CCL7/CD74/CD99L2/CSF1/CXCL10/CXCL13/CXCL17/EDN1/ICAM1/IL6/JAM2/LGALS3/LGALS9/LGMN/MDK/PGF/PTN/RARRES2/SERPINE1/THY1/TNF/TNFRSF14/TREM2/VEGFA/XCL1/XG,30
GO:0050867,GO:0050867,positive regulation of cell activation,49/449,436/18800,1.33456881500473e-19,5.43264834050853e-17,3.3825800566774e-17,ACTA2/B2M/CCL21/CCL3/CD160/CD27/CD274/CD38/CD4/CD40/CD46/CD5/CD74/CD80/CD83/CLEC4D/CLEC7A/HAVCR1/HAVCR2/HLA-E/IGLC2/IL12B/IL12RB1/IL15/IL15RA/IL18/IL2RA/IL4R/IL6/LEP/LGALS1/LGALS9/LILRA5/LILRB4/MDK/MMP8/NECTIN2/SIRPB1/TGFB1/TGFBR2/THY1/TNF/TNFRSF14/TNFRSF4/TNFSF13/TNFSF13B/TREM2/VCAM1/XCL1,49
GO:0007159,GO:0007159,leukocyte cell-cell adhesion,45/449,381/18800,6.38519886175059e-19,1.91522359542719e-16,1.19249337190921e-16,B2M/CCL21/CCL25/CD160/CD27/CD274/CD4/CD46/CD5/CD74/CD80/CD83/F11R/FGL1/HAVCR2/HLA-E/ICAM1/IFNL1/IL12B/IL12RB1/IL15/IL18/IL2RA/IL4R/IL6/ITGA5/JAM2/LEP/LGALS1/LGALS3/LGALS9/LILRB4/MAD1L1/MDK/PAG1/SIRPB1/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/UMOD/VCAM1/VSIG4/XCL1,45
GO:0046718,GO:0046718,viral entry into host cell,29/449,146/18800,9.652276038983399e-19,2.75041605730832e-16,1.712516975127e-16,ACE2/BSG/CD4/CD46/CD74/CD80/CLEC5A/CTSL/CXADR/EGFR/EPHA2/F11R/GSN/HAVCR1/ICAM1/ITGA5/ITGAV/LDLR/LGALS1/LGALS9/MRC1/NECTIN2/NECTIN4/P4HB/SCARB2/SIGLEC1/SMPD1/TNFRSF14/TNFRSF4,29
