Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007565,GO:0007565,female pregnancy,5/36,185/18800,2.57271950148782e-05,0.012298677259859,0.008634190762286,ANGPT2/EPO/IGFBP7/LGALS9/PGF,5
GO:0043123,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,5/36,188/18800,2.77913866202205e-05,0.012298677259859,0.008634190762286,LGALS9/LTBR/SHISA5/TFRC/TNFRSF19,5
GO:0043410,GO:0043410,positive regulation of MAPK cascade,7/36,491/18800,3.43675130931883e-05,0.012298677259859,0.008634190762286,EPO/FGF23/GDF15/IGFBP4/LGALS9/LTBR/TNFRSF19,7
GO:0044703,GO:0044703,multi-organism reproductive process,5/36,205/18800,4.20408875903398e-05,0.012298677259859,0.008634190762286,ANGPT2/EPO/IGFBP7/LGALS9/PGF,5
GO:0044706,GO:0044706,multi-multicellular organism process,5/36,213/18800,5.04457639862963e-05,0.012298677259859,0.008634190762286,ANGPT2/EPO/IGFBP7/LGALS9/PGF,5
GO:0046718,GO:0046718,viral entry into host cell,4/36,146/18800,0.0001694763273607,0.0266248649147573,0.01869177943586,HAVCR1/LGALS9/SCARB2/TFRC,4
GO:0044409,GO:0044409,entry into host,4/36,153/18800,0.0002028421323819,0.0266248649147573,0.01869177943586,HAVCR1/LGALS9/SCARB2/TFRC,4
GO:0022409,GO:0022409,positive regulation of cell-cell adhesion,5/36,291/18800,0.0002184156268642,0.0266248649147573,0.01869177943586,EPO/FSTL3/LGALS9/PLAUR/TFRC,5
GO:0042129,GO:0042129,regulation of T cell proliferation,4/36,174/18800,0.0003313397869708,0.0359151860462722,0.0252139771647332,EPO/LGALS9/TFRC/TNFRSF1B,4
GO:2001267,GO:2001267,regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,2/36,17/18800,0.0004761712238242,0.0388054018188593,0.0272430306797916,LGALS9/PLAUR,2
GO:0045765,GO:0045765,regulation of angiogenesis,5/36,345/18800,0.00047750699531,0.0388054018188593,0.0272430306797916,ANGPT2/DLL1/NPPB/PGF/THBS2,5
GO:0042098,GO:0042098,T cell proliferation,4/36,204/18800,0.0006041140801441,0.0433185331585726,0.0304114394524584,EPO/LGALS9/TFRC/TNFRSF1B,4
