Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",27093,215,1.51 [1.34-1.71],4.9201515227257686e-11
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ACE2,Angiotensin-converting enzyme 2,27236,216,2.04 [1.71-2.43],1.1609084807996518e-15
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ACY1,Aminoacylase-1,27743,220,2.30 [1.97-2.68],2.574993960771556e-26
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ADAMTSL2,ADAMTS-like protein 2,24186,196,2.92 [2.03-4.19],7.837109656293225e-09
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ADGRD1,Adhesion G-protein coupled receptor D1,23677,196,3.80 [2.81-5.13],3.582235151648417e-18
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,27236,216,1.45 [1.27-1.65],1.7612364333841492e-08
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ADM,Pro-adrenomedullin,27975,222,4.14 [2.66-6.45],2.9772075661461456e-10
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",AGXT,Serine--pyruvate aminotransferase,27743,220,1.53 [1.35-1.74],7.821526373630813e-11
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",AMY2B,Alpha-amylase 2B,25852,199,0.46 [0.36-0.60],9.636160034757672e-09
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ANGPTL7,Angiopoietin-related protein 7,27975,222,2.10 [1.61-2.75],4.802072065349734e-08
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",APOM,Apolipoprotein M,27790,219,4.25 [2.84-6.37],2.126232072320646e-12
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ASGR1,Asialoglycoprotein receptor 1,27550,216,3.69 [2.64-5.17],2.4598180831686763e-14
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",ASS1,Argininosuccinate synthase,23420,192,1.66 [1.43-1.94],7.007897788702429e-11
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",BST2,Bone marrow stromal antigen 2,27983,221,1.64 [1.41-1.91],1.7265130805018166e-10
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",C4BPB,C4b-binding protein beta chain,27840,223,0.42 [0.32-0.55],1.5328147736753212e-10
Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",CA5A,"Carbonic anhydrase 5A, mitochondrial",27236,216,1.43 [1.28-1.59],4.0073125786051456e-10
