Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,A1BG,Alpha-1B-glycoprotein,44300,468,1.33 [0.79-2.24],0.2812041569060882
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,AAMDC,Mth938 domain-containing protein,43068,451,1.05 [0.89-1.25],0.5556832998572178
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,AARSD1,Alanyl-tRNA editing protein Aarsd1,50654,523,1.03 [0.90-1.18],0.6578540588274873
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ABCA2,ATP-binding cassette sub-family A member 2,42786,443,0.97 [0.75-1.25],0.8020356531747307
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ABHD14B,Protein ABHD14B,50326,525,1.04 [0.91-1.19],0.5652874647967953
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ABL1,Tyrosine-protein kinase ABL1,50654,523,1.17 [1.05-1.31],0.0047831310042403
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ABO,Histo-blood group ABO system transferase,44271,465,1.02 [0.96-1.09],0.4851744824711351
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ABRAXAS2,BRISC complex subunit Abraxas 2,42786,443,1.09 [0.95-1.25],0.2061560677637889
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",49688,519,1.08 [0.99-1.19],0.0839174545784084
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43433,446,0.94 [0.82-1.08],0.3793040909516906
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",44235,464,1.04 [0.94-1.14],0.4779037363593355
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ACAN,Aggrecan core protein,50403,529,1.05 [0.80-1.38],0.7321134996795904
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ACE,Angiotensin-converting enzyme,44271,465,0.95 [0.68-1.32],0.7519170169032441
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified dermatitis,ACE2,Angiotensin-converting enzyme 2,49966,529,1.19 [1.03-1.36],0.0142656230468263
