Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,A1BG,Alpha-1B-glycoprotein,44381,1622,1.64 [1.23-2.17],0.000642235773114
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,AAMDC,Mth938 domain-containing protein,43129,1571,1.00 [0.91-1.09],0.9234883810386988
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,AARSD1,Alanyl-tRNA editing protein Aarsd1,50746,1887,1.10 [1.03-1.19],0.007741381708273
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ABCA2,ATP-binding cassette sub-family A member 2,42853,1555,1.20 [1.06-1.37],0.0057162737202512
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ABHD14B,Protein ABHD14B,50424,1864,1.08 [1.01-1.16],0.0320028962533247
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ABL1,Tyrosine-protein kinase ABL1,50746,1887,1.14 [1.08-1.21],1.205076301884162e-05
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ABO,Histo-blood group ABO system transferase,44343,1629,1.00 [0.97-1.03],0.9974372302128092
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ABRAXAS2,BRISC complex subunit Abraxas 2,42853,1555,1.04 [0.97-1.12],0.2699307505611882
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",49781,1828,1.10 [1.05-1.15],0.000134128386995
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43505,1587,1.02 [0.96-1.10],0.4904949655124584
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",44305,1612,1.02 [0.97-1.08],0.3923105592715651
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACAN,Aggrecan core protein,50488,1873,1.11 [0.96-1.29],0.1527201171555635
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACE,Angiotensin-converting enzyme,44343,1629,0.97 [0.82-1.16],0.7507281495751544
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACE2,Angiotensin-converting enzyme 2,50038,1856,1.33 [1.24-1.42],3.015950366599102e-16
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACHE,Acetylcholinesterase,43339,1593,1.02 [0.88-1.17],0.803496522637838
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACOT13,Acyl-coenzyme A thioesterase 13,44122,1604,1.04 [1.00-1.09],0.048942686298309
Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,50976,1894,1.05 [0.97-1.14],0.2155704116691039
