,Disease_code,nb_proteins,Disease,Disease_category
0,AB1_BACT_BIR_OTHER_INF_AGENTS,460,"Bacterial, viral and other infectious agents",Chapter I Certain infectious and parasitic diseases
1,AB1_BACT_INTEST_OTH,8,Other bacterial intestinal infections,Chapter I Certain infectious and parasitic diseases
2,AB1_INTESTINAL_INFECTIONS,72,Intestinal infectious diseases,Chapter I Certain infectious and parasitic diseases
3,AB1_MYCOSES,19,Mycoses,Chapter I Certain infectious and parasitic diseases
4,AB1_OTHER_BACTERIAL,446,Other bacterial diseases,Chapter I Certain infectious and parasitic diseases
5,AB1_OTHER_BACT_INOTHER,325,Other bacterial agents as the cause of diseases classified to other chapters,Chapter I Certain infectious and parasitic diseases
6,AB1_OTHER_SEPSIS,454,Other septicaemia,Chapter I Certain infectious and parasitic diseases
7,AB1_OTHER_VIRAL,1,Other viral diseases,Chapter I Certain infectious and parasitic diseases
8,AB1_STREPTSTAPHYCOCC_INOTHER,357,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Chapter I Certain infectious and parasitic diseases
9,AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1,Viral infections characterized by skin and mucous membrane lesions,Chapter I Certain infectious and parasitic diseases
10,ALCOHOLACUTE10,9,"Acute alcohol intoxication, ICD10",Chapter V Mental and behavioural disorders
11,ASTHMA_NAS,434,"Asthma, unspecified (mode)",Chapter X Diseases of the respiratory system
12,AUD,168,"Alcohol use disorder, ICD-based",Chapter V Mental and behavioural disorders
13,BACT_INTEST_INFECTION_NOS,2,Other specified/unspecified bacterial intestinal infections,Chapter I Certain infectious and parasitic diseases
14,C3_BREAST_EXALLC,117,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",Chapter II Neoplasms
15,C3_MELANOMA_SKIN_EXALLC,11,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",Chapter II Neoplasms
16,C3_NONHODGKIN_EXALLC,127,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",Chapter II Neoplasms
17,C3_PROSTATE_EXALLC,5,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",Chapter II Neoplasms
18,CD2_BENIGN_COLORECANI,1,"Benign neoplasm of colon, rectum, anus and anal canal",Chapter II Neoplasms
19,CD2_BENIGN_LEIOMYOMA_UTERI,6,Leiomyoma of uterus,Chapter II Neoplasms
20,CD2_BENIGN_OTHERDIGESTIVE,3,Benign neoplasm of other and ill-defined parts of digestive system,Chapter II Neoplasms
21,CD2_BENIGN_STOMACH,3,Benign neoplasm: Stomach,Chapter II Neoplasms
22,CHRONNAS,197,Crohn's disease NAS,Chapter XI Diseases of the digestive system
23,COPD_EARLY,353,Early onset COPD,Chapter X Diseases of the respiratory system
24,D3_AGRANULOCYTOSIS,130,Agranulocytosis,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
25,D3_ANAEMIA_IRONDEF_NAS,347,Other and unspecified iron deficiency,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
26,D3_ANAEMIANAS,565,Other and unspecified anaemias,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
27,DM_MACULOPATHY_EXMORE,511,"Diabetic maculopathy, excluding more controls","Chapter VII Diseases of the eye, adnexa, ear and mastoid process"
