Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Impacted teeth,ARID4B,AT-rich interactive domain-containing protein 4B,22627,36,1.71 [1.21-2.42],0.0022983625078241
Chapter XI Diseases of the digestive system,Impacted teeth,C7orf50,Uncharacterized protein C7orf50,20112,30,2.26 [1.24-4.13],0.0077647717002037
Chapter XI Diseases of the digestive system,Impacted teeth,ECM1,Extracellular matrix protein 1,19646,30,0.37 [0.18-0.75],0.0058201825843213
Chapter XI Diseases of the digestive system,Impacted teeth,ENPEP,Glutamyl aminopeptidase,19461,29,1.66 [1.16-2.39],0.005885128851798
Chapter XI Diseases of the digestive system,Impacted teeth,F12,Coagulation factor XII,20178,30,0.34 [0.18-0.65],0.0009751009738429
Chapter XI Diseases of the digestive system,Impacted teeth,FETUB,Fetuin-B,23234,38,0.48 [0.31-0.76],0.0018104132764799
Chapter XI Diseases of the digestive system,Impacted teeth,GATA3,Trans-acting T-cell-specific transcription factor GATA-3,19417,27,3.78 [1.50-9.56],0.0049309643906392
Chapter XI Diseases of the digestive system,Impacted teeth,IFNAR1,Interferon alpha/beta receptor 1,20050,29,0.21 [0.07-0.60],0.0037627392389013
Chapter XI Diseases of the digestive system,Impacted teeth,IL1RAP,Interleukin-1 receptor accessory protein,23183,39,2.44 [1.36-4.36],0.0027841992761132
Chapter XI Diseases of the digestive system,Impacted teeth,LEO1,RNA polymerase-associated protein LEO1,20102,29,2.13 [1.48-3.06],4.135136355598338e-05
Chapter XI Diseases of the digestive system,Impacted teeth,MTPN,Myotrophin,22720,34,1.85 [1.17-2.94],0.0084238286262162
Chapter XI Diseases of the digestive system,Impacted teeth,NBN,Nibrin,22715,35,1.51 [1.11-2.05],0.0082186190898786
Chapter XI Diseases of the digestive system,Impacted teeth,OSMR,Oncostatin-M-specific receptor subunit beta,23311,38,0.15 [0.04-0.60],0.006914021235275
Chapter XI Diseases of the digestive system,Impacted teeth,PXDNL,Peroxidasin-like protein,20053,29,0.26 [0.09-0.72],0.0094307595250112
Chapter XI Diseases of the digestive system,Impacted teeth,RUVBL1,RuvB-like 1,22639,36,1.47 [1.23-1.76],3.004304623787617e-05
Chapter XI Diseases of the digestive system,Impacted teeth,SAT2,Thialysine N-epsilon-acetyltransferase,19786,28,1.63 [1.22-2.18],0.000886907309493
Chapter XI Diseases of the digestive system,Impacted teeth,SHC1,SHC-transforming protein 1,19417,27,1.39 [1.11-1.73],0.0036421677119999
Chapter XI Diseases of the digestive system,Impacted teeth,TGFBI,Transforming growth factor-beta-induced protein ig-h3,23050,38,0.21 [0.07-0.58],0.0030073824017368
Chapter XI Diseases of the digestive system,Impacted teeth,TNNI3,"Troponin I, cardiac muscle",22720,34,0.71 [0.56-0.91],0.0058388356383708
Chapter XI Diseases of the digestive system,Impacted teeth,TPM3,Tropomyosin alpha-3 chain,19461,29,0.25 [0.09-0.71],0.0095682253773602
Chapter XI Diseases of the digestive system,Impacted teeth,UPK3A,Uroplakin-3a,19489,29,1.92 [1.23-3.01],0.0040083747698619
Chapter XI Diseases of the digestive system,Impacted teeth,VWF,von Willebrand factor,23443,39,1.70 [1.18-2.45],0.0042011905679626
Chapter XI Diseases of the digestive system,Impacted teeth,ZPR1,Zinc finger protein ZPR1,19489,29,1.39 [1.11-1.73],0.0033992838864562
