Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",ATP5F1D,"ATP synthase subunit delta, mitochondrial",10258,34,1.55 [1.15-2.09],0.0040924287288488
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",BGLAP,Osteocalcin,10617,36,0.65 [0.47-0.89],0.0080610803951112
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",BLMH,Bleomycin hydrolase,12247,40,2.30 [1.26-4.19],0.0064093077657129
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",C1GALT1C1,C1GALT1-specific chaperone 1,10258,34,2.26 [1.24-4.12],0.0076628101690157
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",C7orf50,Uncharacterized protein C7orf50,10586,35,2.89 [1.77-4.69],1.926091010244064e-05
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",CCAR2,Cell cycle and apoptosis regulator protein 2,10586,35,1.78 [1.41-2.25],1.4557770262269955e-06
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",CEBPA,CCAAT/enhancer-binding protein alpha,10295,36,1.89 [1.31-2.72],0.0006197031767183
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",CEP350,Centrosome-associated protein 350,10208,34,2.13 [1.31-3.46],0.0023003716385203
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",CFHR4,Complement factor H-related protein 4,10604,35,0.54 [0.37-0.79],0.0015492071841769
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",CXCL14,C-X-C motif chemokine 14,11857,37,1.45 [1.11-1.90],0.006989544353074
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",DOC2B,Double C2-like domain-containing protein beta,10316,33,2.44 [1.57-3.79],7.369523446878664e-05
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",DYNLT1,Dynein light chain Tctex-type 1,10316,33,1.59 [1.16-2.20],0.0041987193616345
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",ENTR1,Endosome-associated-trafficking regulator 1,10348,34,1.82 [1.16-2.85],0.0088225878267094
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",EP300,Histone acetyltransferase p300,10295,36,1.88 [1.17-3.04],0.0096321875285787
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",ERI1,3'-5' exoribonuclease 1,10425,33,2.29 [1.32-3.98],0.0031325931660987
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",FEN1,Flap endonuclease 1,11824,39,1.41 [1.10-1.82],0.0074809591191445
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",GIPR,Gastric inhibitory polypeptide receptor,10295,36,0.28 [0.11-0.67],0.0046086442868762
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",GLI2,Zinc finger protein GLI2,10295,36,2.10 [1.27-3.48],0.0040851391769657
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",GSAP,Gamma-secretase-activating protein,11824,39,1.36 [1.12-1.64],0.0020464629906352
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",GZMH,Granzyme H,11861,38,1.42 [1.13-1.80],0.0031415960573512
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,10578,34,1.89 [1.24-2.88],0.0028878303363006
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",ING1,Inhibitor of growth protein 1,11794,37,1.74 [1.21-2.51],0.0028803710004032
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",10578,34,1.83 [1.24-2.71],0.0024237235338259
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",LAMTOR5,Ragulator complex protein LAMTOR5,10542,34,1.88 [1.22-2.89],0.004004115617372
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",LPCAT2,Lysophosphatidylcholine acyltransferase 2,12048,37,1.70 [1.24-2.31],0.0008616453779628
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",LYAR,Cell growth-regulating nucleolar protein,11824,39,1.62 [1.27-2.06],0.0001078593120439
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",MKI67,Proliferation marker protein Ki-67,10295,36,2.03 [1.39-2.98],0.0002766909658908
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",MNAT1,CDK-activating kinase assembly factor MAT1,10425,33,1.93 [1.22-3.04],0.005044212633681
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",MORC3,MORC family CW-type zinc finger protein 3,10586,35,2.41 [1.35-4.31],0.0029754560485437
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",11824,39,0.52 [0.32-0.85],0.008329848113026
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",NOP56,Nucleolar protein 56,10258,34,0.67 [0.61-0.74],2.5070145189813315e-16
"Chapter IV Endocrine, nutritional and metabolic diseases","Polycystic ovarian syndrome, consortium definition",PADI2,Protein-arginine deiminase type-2,11857,37,1.53 [1.15-2.05],0.0035200491247513
