Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
MEGF10,Multiple epidermal growth factor-like domains protein 10,Lifestyle factors,X1050.Time spend outdoors in summer,46065,0.038076240009232,0.0203492266421483,-0.00180824420937865,0.0779607242278427,0.0613320958059881
MEGF10,Multiple epidermal growth factor-like domains protein 10,Lifestyle factors,X1060.Time spent outdoors in winter,40184,0.122684808307201,0.0229652031180658,0.0776730101957922,0.16769660641861,9.23218015292331e-08
MEGF10,Multiple epidermal growth factor-like domains protein 10,Physical activities,X1070.Time spent watching television (TV),48435,-0.156240682392406,0.0203221934869763,-0.19607218162688,-0.116409183157933,1.52049097401101e-14
MEGF10,Multiple epidermal growth factor-like domains protein 10,Physical activities,X1080.Time spent using computer,40178,-0.0908535570816762,0.0210921121654001,-0.13219409692586,-0.0495130172374919,1.65527077930563e-05
MEGF10,Multiple epidermal growth factor-like domains protein 10,Physical activities,X1090.Time spent driving,34848,-0.101005226026638,0.023031974938947,-0.146147896906975,-0.0558625551463022,1.16093318305445e-05
MEGF10,Multiple epidermal growth factor-like domains protein 10,Lifestyle factors,X1160.Sleep duration,51033,-0.100514250262366,0.0185200512497345,-0.136813550711846,-0.0642149498128869,5.74664195010703e-08
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,17079,0.00876294436075372,0.0110423277571858,-0.0128800180433305,0.030405906764838,0.42745238993105
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,17079,-0.0246009934522325,0.0107634402909451,-0.0456973364224849,-0.00350465048198012,0.0222894698723361
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,17079,-0.0211257853500568,0.012299436745566,-0.0452326813713661,0.00298111067125243,0.0858836942667942
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,17079,-0.00393699594008997,0.0126611409516333,-0.0287528322052912,0.0208788403251113,0.755841580421953
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,17079,-0.0220315759410589,0.0128135692474894,-0.0471461716661381,0.00308301978402037,0.0855607612280521
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,17079,0.00557430968047409,0.0271559807247097,-0.047651412539957,0.0588000319009051,0.837363586193824
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,17079,-0.0310839072122921,0.0281370465204063,-0.0862325183922884,0.0240647039677042,0.269291131192706
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,17079,-0.0126125136838262,0.0194356044947848,-0.0507062984936044,0.025481271125952,0.516386806219157
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,17079,-0.0315305154829742,0.0142401929851909,-0.0594412937339484,-0.00361973723200003,0.0268287689023932
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,17079,-0.00616217078163594,0.00974112681506869,-0.0252547793391706,0.0129304377758987,0.52700779130746
MEGF10,Multiple epidermal growth factor-like domains protein 10,Health and medical history,X120039#18.Location of pain during the past week_Upper back,17079,-0.0178089600849332,0.0140628470267978,-0.0453721402574568,0.00975422008759042,0.205393033488861
