Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
PDLIM7,PDZ and LIM domain protein 7,Lifestyle factors,X1050.Time spend outdoors in summer,46289,0.0122691272314803,0.00634634945577548,-0.00016971770183963,0.0247079721648003,0.0532105858488803
PDLIM7,PDZ and LIM domain protein 7,Lifestyle factors,X1060.Time spent outdoors in winter,40383,0.0122261702267215,0.00715151137697353,-0.00179079207214662,0.0262431325255896,0.0873489385082557
PDLIM7,PDZ and LIM domain protein 7,Physical activities,X1070.Time spent watching television (TV),48675,0.0124983717514899,0.00636795213709216,1.71855627892868e-05,0.0249795579401906,0.0496868761899918
PDLIM7,PDZ and LIM domain protein 7,Physical activities,X1080.Time spent using computer,40386,-0.0130177354229632,0.0065881972036675,-0.0259306019421515,-0.000104868903774938,0.0481708975590084
PDLIM7,PDZ and LIM domain protein 7,Physical activities,X1090.Time spent driving,35024,-0.00131171102239726,0.00724689501955791,-0.0155156252607308,0.0128922032159362,0.856366130051284
PDLIM7,PDZ and LIM domain protein 7,Lifestyle factors,X1160.Sleep duration,51285,-0.00325405497298354,0.00581163474632437,-0.0146448590757793,0.00813674912981223,0.575535930664406
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,17163,0.0618303027299913,0.0356895596994547,-0.00812123428093992,0.131781839740923,0.0832118250829688
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,17163,0.0737016331914705,0.0347590654716421,0.00557386486705203,0.141829401515889,0.0339902534239868
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,17163,-0.0383456538301607,0.0397290041339441,-0.116214501932691,0.0395231942723698,0.334468101146517
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,17163,0.00180405975944974,0.0407868747767852,-0.0781382148030493,0.0817463343219488,0.96472048384004
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,17163,0.00230329318831789,0.0413960384140106,-0.078832942103143,0.0834395284797787,0.955628907720968
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,17163,-0.116239176150769,0.0879273259848145,-0.288576735081006,0.056098382779467,0.186188619768573
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,17163,-0.00393843566286091,0.0911118503900604,-0.182517662427379,0.174640791101657,0.965521578088714
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,17163,-0.0528757339152668,0.0628715196198655,-0.176103912370203,0.0703524445396695,0.400352657827254
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,17163,-0.0107980254046222,0.0459209937243047,-0.100803173104259,0.0792071222950151,0.814100127093504
PDLIM7,PDZ and LIM domain protein 7,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,17163,0.018087884418779,0.0314643736395945,-0.0435822879148261,0.0797580567523841,0.56538762298024
