Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,ACE2,Angiotensin-converting enzyme 2,24898,69,2.04 [1.51-2.77],4.291734648979534e-06
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,ADA2,Adenosine deaminase 2,25213,70,3.38 [2.26-5.04],2.4908969376645e-09
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,ADGRG1,Adhesion G-protein coupled receptor G1,25259,70,1.66 [1.30-2.11],4.02396676700044e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,AGR2,Anterior gradient protein 2 homolog,24530,68,1.53 [1.28-1.83],3.253226955036648e-06
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,ALCAM,CD166 antigen,25674,70,6.43 [2.52-16.40],9.696603701265388e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,ANGPTL2,Angiopoietin-related protein 2,25400,70,2.90 [1.79-4.69],1.5034084625073503e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,ANXA10,Annexin A10,24742,68,1.50 [1.22-1.83],9.400387639898945e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,AREG,Amphiregulin,25259,70,2.39 [1.80-3.18],2.1804153377835192e-09
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,AXL,Tyrosine-protein kinase receptor UFO,25456,70,3.71 [2.02-6.81],2.4857664830962444e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,BST2,Bone marrow stromal antigen 2,25585,71,1.89 [1.48-2.43],5.227530598139902e-07
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,C1QA,Complement C1q subcomponent subunit A,25492,71,5.77 [2.44-13.63],6.437683120346487e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,C7,Complement component C7,21620,57,4.48 [2.13-9.40],7.336900631138254e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CD163,Scavenger receptor cysteine-rich type 1 protein M130,25456,70,2.48 [1.62-3.78],2.4809887863435305e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CD27,CD27 antigen,25444,69,2.50 [1.64-3.82],2.3299491325792505e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CD276,CD276 antigen,25362,69,4.22 [2.46-7.23],1.5484255118238328e-07
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CD300A,CMRF35-like molecule 8,21660,58,4.39 [2.11-9.14],7.920881948291012e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CD300C,CMRF35-like molecule 6,25585,71,3.45 [2.06-5.76],2.431650490392728e-06
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CKAP4,Cytoskeleton-associated protein 4,25503,71,3.57 [2.12-6.03],1.765536602067384e-06
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,COL18A1,Collagen alpha-1(XVIII) chain,25473,70,5.74 [2.53-13.06],3.0575979657991344e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CSF1,Macrophage colony-stimulating factor 1,25483,70,5.62 [3.10-10.16],1.1582251921275524e-08
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CST3,Cystatin-C,25416,70,3.32 [1.85-5.95],5.7982337095339e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CTSO,Cathepsin O,25622,71,3.48 [1.99-6.10],1.2267598154640529e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CXADR,Coxsackievirus and adenovirus receptor,25318,70,1.94 [1.40-2.70],7.275133771689439e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,CXCL13,C-X-C motif chemokine 13,25585,71,1.49 [1.25-1.79],1.588355151755801e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,DLL1,Delta-like protein 1,25444,69,3.88 [2.11-7.11],1.225486140548263e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,EBI3_IL27,Interleukin-27,25527,70,2.95 [1.89-4.60],2.003009049213441e-06
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,25413,70,4.23 [2.39-7.48],6.811342402188489e-07
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,EFNA4,Ephrin-A4,25144,71,2.88 [1.75-4.74],3.188378080399547e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,EPHA2,Ephrin type-A receptor 2,24466,66,2.52 [1.63-3.90],3.428933933914711e-05
Chapter XI Diseases of the digestive system,Other diseases of biliary tract,EPHB4,Ephrin type-B receptor 4,25674,70,3.60 [1.98-6.56],2.812851162297394e-05
