Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,AMPD3,AMP deaminase 3,46216,0.0267070639909236,0.00515481840544775,0.0166036199162461,0.0368105080656012,2.22626747147828e-07
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CAT,Catalase,45961,0.0190787167807965,0.00388762360918899,0.0114589745067861,0.0266984590548069,9.28764027458571e-07
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CA2,Carbonic anhydrase 2,49656,0.0242631309623889,0.00501814687943038,0.0144275630787053,0.0340986988460724,1.33859565270873e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PSMG3,Proteasome assembly chaperone 3,49745,0.017537925712202,0.00366934767886583,0.0103460042616249,0.024729847162779,1.76629089014673e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,HMBS,Porphobilinogen deaminase,49975,0.0148564470450899,0.00314695880179759,0.0086884077935666,0.0210244862966131,2.36032200360811e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,DDI2,Protein DDI1 homolog 2,45789,0.0261228993178047,0.00553362305149432,0.0152769981368758,0.0369688004987336,2.36417831218517e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,BLVRB,Flavin reductase,49725,0.0225131237426011,0.00477810681890443,0.0131480343775484,0.0318782131076538,2.46905483940639e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,GOT1,"Aspartate aminotransferase, cytoplasmic",46281,0.014189854688447,0.00302677595379727,0.00825737381900439,0.0201223355578897,2.77363347043105e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PSME2,Proteasome activator complex subunit 2,49455,0.0123213980977379,0.00263492709993791,0.00715694098185961,0.0174858552136162,2.93756267366526e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,TGM2,Protein-glutamine gamma-glutamyltransferase 2,49713,0.0249315809470394,0.00535076870945591,0.0144440742765058,0.035419087617573,3.18651321897558e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,AHSP,Alpha-hemoglobin-stabilizing protein,49694,0.0290585617331322,0.00627290350331258,0.0167636708666395,0.0413534525996248,3.63222767795124e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PKLR,Pyruvate kinase PKLR,49780,0.0214529194396984,0.00474479822946764,0.0121531149099418,0.030752723969455,6.17168381923624e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,RBKS,Ribokinase,49148,0.0166199914312521,0.00367852249248546,0.00941008734598058,0.0238298955165236,6.26745555095522e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,C9orf40,Uncharacterized protein C9orf40,46194,0.0260651048773613,0.00582035740002754,0.0146572043733073,0.0374730053814153,7.56247068104066e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,ATG4A,Cysteine protease ATG4A,49112,0.0191348537205088,0.00431257429845012,0.0106822080955466,0.027587499345471,9.16106453255623e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,ALDH1A1,Retinal dehydrogenase 1,49725,0.0171654818846426,0.00388019547689692,0.0095602987499246,0.0247706650193605,9.7343725302633e-06
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PSME1,Proteasome activator complex subunit 1,49540,0.011845916787775,0.00269259363977834,0.00656843325380942,0.0171234003217405,1.08964855531771e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CENPF,Centromere protein F,45866,0.0171642281287951,0.00394745307026676,0.00942722011107225,0.0249012361465179,1.37889627185415e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,YOD1,Ubiquitin thioesterase OTU1,45557,0.0194289279256403,0.00451054721190851,0.0105882553902997,0.028269600460981,1.65877728914837e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PSMG4,Proteasome assembly chaperone 4,45649,0.0176050585318096,0.00410331112266478,0.00956256873138664,0.0256475483322326,1.79078383578459e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",49906,0.0222976563957026,0.00521122735312539,0.0120836507835768,0.0325116620078283,1.88597085808379e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PRDX2,Peroxiredoxin-2,45932,0.0187890968303006,0.00448610851910128,0.00999632413286207,0.0275818695277391,2.8216226439013e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,PSMD9,26S proteasome non-ATPase regulatory subunit 9,49634,0.0168433475608573,0.00402465841527858,0.00895501706691128,0.0247316780548033,2.86063165224685e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CA3,Carbonic anhydrase 3,50020,0.0181481933736617,0.00442875726201338,0.00946782914011552,0.026828557607208,4.18338916140562e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,SLC4A1,Band 3 anion transport protein,46281,0.0139748538187355,0.00344401991680028,0.00722457478180699,0.0207251328556641,4.97228602081708e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,CA1,Carbonic anhydrase 1,49151,0.0176540753732696,0.00437961157953027,0.00907003667739033,0.026238114069149,5.5710158978848e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,UBAC1,Ubiquitin-associated domain-containing protein 1,49634,0.00994673056122693,0.00249668441412861,0.00505322910953486,0.014840232012919,6.79579675836444e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,DNAJA4,DnaJ homolog subfamily A member 4,46216,0.0204125962624591,0.00513185249328946,0.0103541653756117,0.0304710271493064,6.98255872235739e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,49759,0.0185191738000172,0.00469816729419254,0.0093107659033998,0.0277275816966346,8.10892761270183e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,DNAJB2,DnaJ homolog subfamily B member 2,45789,0.0153397040541626,0.00390704529827769,0.00768189526953834,0.0229975128387869,8.65747882988962e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,GLRX,Glutaredoxin-1,49608,0.0161930802418337,0.00413595440508413,0.00808660960786878,0.0242995508757986,9.05626758215559e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,KLF4,Krueppel-like factor 4,45569,0.011539878084807,0.00295638120698786,0.00574537091911076,0.0173343852505032,9.5145227737244e-05
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,46246,0.0139299081214435,0.00360052695528549,0.00687287528908391,0.020986940953803,0.000109658382339267
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,ZHX2,Zinc fingers and homeoboxes protein 2,46216,0.00965105600362378,0.00250729252796916,0.00473676264880423,0.0145653493584433,0.000118836654189209
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,SMNDC1,Survival of motor neuron-related-splicing factor 30,46194,0.017535519158963,0.00462024763775244,0.00847983378896821,0.0265912045289578,0.000147816575876686
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,DDT,D-dopachrome decarboxylase,46281,0.0112348604113127,0.00296200936389204,0.00542932205808433,0.0170403987645411,0.000149237049016074
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,ANKRD54,Ankyrin repeat domain-containing protein 54,49112,0.015800122196348,0.00417330968479405,0.00762043521415169,0.0239798091785444,0.000153450022669187
Working and living environment,X24005.Particulate matter air pollution (pm10); 2010,NCF2,Neutrophil cytosol factor 2,49697,0.0233035037060759,0.00619764703798086,0.0111561155116334,0.0354508919005184,0.000170249188389485
