Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,20012,49,1.90 [1.34-2.71],0.0003617008381284
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,23561,57,2.83 [1.63-4.92],0.0002309987790478
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADGRD1,Adhesion G-protein coupled receptor D1,20171,50,2.76 [1.43-5.34],0.0025401062228428
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ADM,Pro-adrenomedullin,23839,59,3.54 [1.47-8.52],0.0047543607278487
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,AMOT,Angiomotin,20171,50,2.33 [1.33-4.11],0.0032729454509854
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,ASGR1,Asialoglycoprotein receptor 1,23484,58,3.05 [1.51-6.14],0.0018599276612879
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,BRME1,Break repair meiotic recombinase recruitment factor 1,19935,50,1.57 [1.18-2.08],0.0018902481239727
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CCN4,CCN family member 4,23839,59,1.94 [1.19-3.16],0.0081534855532473
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,23080,55,1.58 [1.17-2.13],0.0025603930974898
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,COL6A3,Collagen alpha-3(VI) chain,23928,59,3.19 [1.91-5.32],9.682027026633855e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,COL9A1,Collagen alpha-1(IX) chain,23600,59,1.73 [1.14-2.62],0.009630822273458
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,CRTAC1,Cartilage acidic protein 1,23928,59,0.37 [0.18-0.73],0.004342319071619
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,DCC,Netrin receptor DCC,20019,50,2.35 [1.38-3.98],0.0016092693601487
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,DNER,Delta and Notch-like epidermal growth factor-related receptor,23614,59,0.17 [0.07-0.41],9.902640531801046e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,DPP10,Inactive dipeptidyl peptidase 10,23600,59,0.32 [0.15-0.65],0.0017267526042798
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,FGF21,Fibroblast growth factor 21,23801,59,1.30 [1.08-1.57],0.0065159780428396
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,FLT4,Vascular endothelial growth factor receptor 3,23729,59,3.24 [1.55-6.77],0.0018233784705179
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,GDF15,Growth/differentiation factor 15,23928,59,1.81 [1.31-2.50],0.0003386577189448
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,GPR37,Prosaposin receptor GPR37,23196,58,1.62 [1.15-2.29],0.0062047733354769
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,GRN,Progranulin,23539,59,5.03 [2.38-10.61],2.242329578913809e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,HJV,Hemojuvelin,20572,51,1.75 [1.31-2.34],0.000174753256467
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,IGSF3,Immunoglobulin superfamily member 3,23561,57,2.26 [1.56-3.27],1.4520222356920874e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,IL4R,Interleukin-4 receptor subunit alpha,23600,59,2.19 [1.33-3.61],0.0019695417374684
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,INSL4,Early placenta insulin-like peptide,20484,51,1.43 [1.10-1.87],0.0083728032211139
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,KLB,Beta-klotho,23079,54,1.51 [1.12-2.03],0.0070978367866266
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,LYPD8,Ly6/PLAUR domain-containing protein 8,23080,55,1.54 [1.14-2.08],0.0051216249682806
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,MAEA,E3 ubiquitin-protein transferase MAEA,23080,55,1.68 [1.15-2.44],0.0068004530933237
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,MTUS1,Microtubule-associated tumor suppressor 1,20210,49,1.75 [1.27-2.40],0.0005983644500758
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,OSMR,Oncostatin-M-specific receptor subunit beta,23762,59,3.82 [1.38-10.57],0.0099970562449146
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,OXT,Oxytocin-neurophysin 1,23842,59,1.26 [1.07-1.48],0.0064711173283814
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,PAPPA,Pappalysin-1,23160,57,1.99 [1.30-3.05],0.0015701208915989
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,PGF,Placenta growth factor,23877,59,2.56 [1.67-3.92],1.4810447022209392e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,PLXNB2,Plexin-B2,23809,59,4.03 [1.67-9.73],0.0019043640341572
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,POSTN,Periostin,20600,51,2.68 [1.56-4.61],0.0003675332830446
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,19935,50,0.35 [0.17-0.73],0.0046853451170647
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,RAP1A,Ras-related protein Rap-1A,20012,49,1.37 [1.09-1.72],0.0063972832075131
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,SCP2,Non-specific lipid-transfer protein,23080,55,1.44 [1.16-1.78],0.0010223725243252
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,SDK2,Protein sidekick-2,20171,50,0.35 [0.18-0.68],0.0019019883128634
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,SPON2,Spondin-2,23531,59,2.73 [1.49-4.99],0.0011154674024413
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,SUSD2,Sushi domain-containing protein 2,23642,59,0.18 [0.08-0.40],2.773754740915989e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,TFF3,Trefoil factor 3,23606,59,1.70 [1.28-2.25],0.0002256929742985
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,TFPI2,Tissue factor pathway inhibitor 2,23648,59,1.81 [1.42-2.31],2.0115919330113462e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,23729,59,2.51 [1.45-4.33],0.0009748316295076
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,TPSAB1,Tryptase alpha/beta-1,23835,58,1.82 [1.17-2.84],0.0083204448154532
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,UNC79,Protein unc-79 homolog,19851,47,1.59 [1.14-2.22],0.0066812737102619
