Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
LBP,Lipopolysaccharide-binding protein,Lifestyle factors,X1050.Time spend outdoors in summer,50256,0.0165473172726665,0.0212485754181758,-0.0250998905469581,0.0581945250922911,0.436136046060735
LBP,Lipopolysaccharide-binding protein,Lifestyle factors,X1060.Time spent outdoors in winter,48115,-0.0391653100273005,0.0233963692608712,-0.085022193778608,0.00669157372400692,0.0941489103198215
LBP,Lipopolysaccharide-binding protein,Physical activities,X1070.Time spent watching television (TV),51466,0.0811563091153582,0.0214893193532869,0.0390372431829158,0.123275375047801,0.000159404501611808
LBP,Lipopolysaccharide-binding protein,Physical activities,X1080.Time spent using computer,48174,-0.0370855366626027,0.0209385375686403,-0.0781250702971377,0.00395399697193227,0.0765498550423103
LBP,Lipopolysaccharide-binding protein,Physical activities,X1090.Time spent driving,43950,-0.0282329827360865,0.0241681782892944,-0.0756026121831035,0.0191366467109304,0.242749699879149
LBP,Lipopolysaccharide-binding protein,Lifestyle factors,X1160.Sleep duration,52269,0.0201459238034003,0.018789505166084,-0.0166815063221243,0.0569733539289249,0.283645812963575
LBP,Lipopolysaccharide-binding protein,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,35640,0.0236606618081505,0.0267648447001817,-0.0287984338042056,0.0761197574205067,0.376718310164698
LBP,Lipopolysaccharide-binding protein,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,35640,0.0302126789845295,0.0255420907329946,-0.01984981885214,0.0802751768211989,0.236908858995925
LBP,Lipopolysaccharide-binding protein,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,35640,-0.000857974252362365,0.0278575128420012,-0.0554586994226847,0.05374275091796,0.975431057254038
LBP,Lipopolysaccharide-binding protein,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,35640,-0.00330253186414219,0.028011358085375,-0.0582047937114772,0.0515997299831929,0.90615077186957
LBP,Lipopolysaccharide-binding protein,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,35640,0.0213459587683277,0.0280717848403988,-0.0336747395188539,0.0763666570555094,0.447039640283735
