Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",LTBR,Tumor necrosis factor receptor superfamily member 3,Inverse variance weighted,16,1.03 [0.87-1.22],0.727238584527828
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,0.66 [0.39-1.14],0.136145522297283
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,1.18 [0.74-1.88],0.488751797001022
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",ELN,Elastin,Inverse variance weighted,12,1.23 [0.91-1.66],0.180510335019377
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",EFNA1,Ephrin-A1,Inverse variance weighted,15,0.93 [0.77-1.13],0.465391175506336
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",ACVRL1,Serine/threonine-protein kinase receptor R3,Inverse variance weighted,16,0.95 [0.82-1.09],0.446229277155659
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",TNFRSF19,Tumor necrosis factor receptor superfamily member 19,Inverse variance weighted,18,1.06 [0.90-1.25],0.458437278751916
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,1.11 [0.44-2.77],0.823103691274612
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",EFNA4,Ephrin-A4,Inverse variance weighted,5,0.92 [0.63-1.34],0.654939352601996
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Inverse variance weighted,5,0.89 [0.50-1.58],0.688996536001175
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",CXCL14,C-X-C motif chemokine 14,Inverse variance weighted,5,2.13 [0.32-14.08],0.431790513919312
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",CDH3,Cadherin-3,Inverse variance weighted,12,1.22 [0.82-1.82],0.329149686421836
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,17,0.97 [0.84-1.11],0.657693007112944
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,1.18 [0.92-1.51],0.191042838913333
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",EPHB6,Ephrin type-B receptor 6,Inverse variance weighted,11,1.01 [0.85-1.20],0.944137731932252
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",FSTL3,Follistatin-related protein 3,Inverse variance weighted,7,0.93 [0.69-1.25],0.612006040833158
Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,17,1.00 [0.86-1.18],0.954987974673751
