Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Intestinal malabsorption,PYY,Peptide YY,Inverse variance weighted,16,1.13 [0.88-1.45],0.346737763092346
Chapter XI Diseases of the digestive system,Intestinal malabsorption,TFF1,Trefoil factor 1,Inverse variance weighted,14,0.96 [0.75-1.23],0.735133755145334
Chapter XI Diseases of the digestive system,Intestinal malabsorption,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,Wald ratio,1,1.35 [0.52-3.50],0.530892304426686
Chapter XI Diseases of the digestive system,Intestinal malabsorption,C1QA,Complement C1q subcomponent subunit A,Inverse variance weighted,36,0.90 [0.77-1.05],0.180808833015257
Chapter XI Diseases of the digestive system,Intestinal malabsorption,CD163,Scavenger receptor cysteine-rich type 1 protein M130,Inverse variance weighted,38,1.15 [0.86-1.55],0.339242679277241
Chapter XI Diseases of the digestive system,Intestinal malabsorption,SULT2A1,Bile salt sulfotransferase,Inverse variance weighted,8,0.85 [0.66-1.10],0.221632163987459
Chapter XI Diseases of the digestive system,Intestinal malabsorption,MUC2,Mucin-2,Inverse variance weighted,61,0.97 [0.86-1.09],0.617679185834344
Chapter XI Diseases of the digestive system,Intestinal malabsorption,GBP1,Guanylate-binding protein 1,Inverse variance weighted,15,1.15 [0.88-1.51],0.297542086402199
Chapter XI Diseases of the digestive system,Intestinal malabsorption,ARHGEF5,Rho guanine nucleotide exchange factor 5,Inverse variance weighted,21,1.05 [0.90-1.22],0.556671545576249
Chapter XI Diseases of the digestive system,Intestinal malabsorption,MMP12,Macrophage metalloelastase,Inverse variance weighted,21,0.91 [0.78-1.06],0.212695747949908
Chapter XI Diseases of the digestive system,Intestinal malabsorption,GUCA2A,Guanylin,Inverse variance weighted,16,1.25 [0.93-1.68],0.139473203794736
Chapter XI Diseases of the digestive system,Intestinal malabsorption,KLF4,Krueppel-like factor 4,Wald ratio,1,0.04 [0.00-0.63],0.0221419181384629
Chapter XI Diseases of the digestive system,Intestinal malabsorption,HIP1R,Huntingtin-interacting protein 1-related protein,Inverse variance weighted,2,0.74 [0.30-1.82],0.511987852318349
Chapter XI Diseases of the digestive system,Intestinal malabsorption,RNASE6,Ribonuclease K6,Inverse variance weighted,20,0.95 [0.79-1.13],0.532822051185458
Chapter XI Diseases of the digestive system,Intestinal malabsorption,AMOTL2,Angiomotin-like protein 2,Wald ratio,1,0.59 [0.16-2.24],0.443238758834987
Chapter XI Diseases of the digestive system,Intestinal malabsorption,CDH17,Cadherin-17,Inverse variance weighted,44,0.95 [0.84-1.07],0.389516865442173
Chapter XI Diseases of the digestive system,Intestinal malabsorption,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,0.59 [0.29-1.21],0.151516857687764
