Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,PI3,Elafin,Inverse variance weighted,20,0.93 [0.80-1.09],0.360827570541827
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,NECTIN2,Nectin-2,Inverse variance weighted,8,1.20 [1.04-1.38],0.0125082733544625
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,DEFA1_DEFA1B,Neutrophil defensin 1,Inverse variance weighted,31,0.95 [0.81-1.11],0.518680499759662
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,1.01 [0.86-1.18],0.891551767946696
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,SEPTIN8,Septin-8,Inverse variance weighted,6,0.93 [0.70-1.23],0.605427021397778
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,TNC,Tenascin,Inverse variance weighted,57,0.94 [0.87-1.02],0.149309517870634
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,PALM2,Paralemmin-2,Inverse variance weighted,9,0.86 [0.70-1.05],0.140566352110098
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,EBI3_IL27,Interleukin-27,Inverse variance weighted,37,1.05 [0.95-1.16],0.358656351779816
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,0.88 [0.73-1.05],0.162251389123678
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,TGFA,Protransforming growth factor alpha,Inverse variance weighted,11,1.09 [0.85-1.42],0.49150452386441
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,AREG,Amphiregulin,Inverse variance weighted,7,1.19 [0.90-1.56],0.217614250748152
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,BSG,Basigin,Inverse variance weighted,8,1.04 [0.79-1.36],0.785488992299228
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,1.03 [0.66-1.61],0.91061510627994
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,SPON1,Spondin-1,Inverse variance weighted,25,0.95 [0.82-1.10],0.495007701312557
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,1.06 [0.67-1.69],0.799332386150851
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,COLEC12,Collectin-12,Inverse variance weighted,13,1.09 [0.87-1.36],0.445759403100183
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,13,0.97 [0.70-1.34],0.85693905007914
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,CXCL13,C-X-C motif chemokine 13,Inverse variance weighted,2,1.49 [0.58-3.82],0.406454837086345
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,CD302,CD302 antigen,Inverse variance weighted,17,1.05 [0.86-1.28],0.611975164319854
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,11,0.87 [0.73-1.02],0.0835124515264285
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,29,1.07 [0.96-1.19],0.201509428978759
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,1.00 [0.67-1.50],0.981608548180561
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,TFF3,Trefoil factor 3,Inverse variance weighted,10,0.91 [0.70-1.19],0.511252290960506
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,0.77 [0.57-1.04],0.0875720407170424
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,LAYN,Layilin,Inverse variance weighted,23,1.13 [0.98-1.29],0.0870059715157848
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,5,0.78 [0.41-1.50],0.459508379821433
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,EFHD1,EF-hand domain-containing protein D1,Inverse variance weighted,10,0.84 [0.66-1.07],0.154745528361126
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,10,0.98 [0.77-1.25],0.893373762393079
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,CD59,CD59 glycoprotein,Inverse variance weighted,8,0.99 [0.82-1.20],0.930336101456013
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,FAM3C,Protein FAM3C,Inverse variance weighted,5,1.08 [0.68-1.71],0.732876057123431
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,JAM2,Junctional adhesion molecule B,Inverse variance weighted,6,0.98 [0.54-1.78],0.943698905272986
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,IGF2R,Cation-independent mannose-6-phosphate receptor,Inverse variance weighted,37,1.09 [0.98-1.22],0.0947938947735758
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,TIMP1,Metalloproteinase inhibitor 1,Inverse variance weighted,2,1.05 [0.56-1.98],0.871457844774453
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,KLRB1,Killer cell lectin-like receptor subfamily B member 1,Inverse variance weighted,19,1.01 [0.84-1.21],0.932723330011203
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,EFNA1,Ephrin-A1,Inverse variance weighted,15,0.94 [0.82-1.08],0.4098432685634
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,POF1B,Protein POF1B,Inverse variance weighted,4,0.67 [0.40-1.12],0.126789991916165
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,LMNB2,Lamin-B2,Inverse variance weighted,9,0.73 [0.51-1.05],0.0880586009694922
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,IGFBP2,Insulin-like growth factor-binding protein 2,Inverse variance weighted,13,0.89 [0.66-1.20],0.449231893585111
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,CTSS,Cathepsin S,Inverse variance weighted,30,1.05 [0.94-1.17],0.376246309980716
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,NRP2,Neuropilin-2,Inverse variance weighted,26,0.90 [0.78-1.04],0.168090990517552
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,ATRAID,All-trans retinoic acid-induced differentiation factor,Inverse variance weighted,17,0.93 [0.81-1.06],0.272015637672695
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,18,0.99 [0.86-1.14],0.895407862063689
Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,NCR1,Natural cytotoxicity triggering receptor 1,Inverse variance weighted,35,1.03 [0.92-1.16],0.607076690826247
