Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,1.25 [1.00-1.56],0.0507709588550159
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,6,0.97 [0.85-1.11],0.6388083771422
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,FABP4,"Fatty acid-binding protein, adipocyte",Inverse variance weighted,2,1.21 [0.95-1.53],0.117885029628144
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,MZB1,Marginal zone B- and B1-cell-specific protein,Inverse variance weighted,19,1.01 [0.88-1.14],0.93812716840863
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,12,1.03 [0.92-1.15],0.566742970177704
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,SEPTIN8,Septin-8,Inverse variance weighted,6,1.09 [0.89-1.33],0.404398574671076
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,RNASET2,Ribonuclease T2,Inverse variance weighted,25,0.96 [0.91-1.02],0.18889006265186
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,1.00 [0.92-1.09],0.994573514001166
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Inverse variance weighted,25,1.02 [0.91-1.14],0.728364724480956
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,FCRLB,Fc receptor-like B,Inverse variance weighted,65,0.98 [0.95-1.02],0.37474421025536
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,FGL1,Fibrinogen-like protein 1,Inverse variance weighted,38,0.96 [0.92-1.01],0.142123886811376
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,DLL1,Delta-like protein 1,Inverse variance weighted,13,0.96 [0.86-1.08],0.543410844400874
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,IFNGR1,Interferon gamma receptor 1,Inverse variance weighted,11,0.95 [0.82-1.10],0.485248341420524
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CSTB,Cystatin-B,Inverse variance weighted,25,0.96 [0.90-1.03],0.232543056666834
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,NTproBNP,N-terminal prohormone of brain natriuretic peptide,Inverse variance weighted,20,0.96 [0.87-1.07],0.48096445418367
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.11 [0.98-1.25],0.0933369781155795
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,15,1.08 [0.99-1.18],0.0898684911479876
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,NT5C1A,Cytosolic 5'-nucleotidase 1A,Inverse variance weighted,4,0.93 [0.70-1.24],0.616901167199082
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,LRP11,Low-density lipoprotein receptor-related protein 11,Inverse variance weighted,42,1.03 [0.98-1.07],0.28146129458695
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,0.99 [0.90-1.09],0.886917611577233
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.01 [0.97-1.06],0.590659932302805
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CCL3,C-C motif chemokine 3,Inverse variance weighted,15,1.02 [0.94-1.10],0.709537626626915
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CD302,CD302 antigen,Inverse variance weighted,17,0.95 [0.88-1.03],0.22672291121369
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Inverse variance weighted,17,1.01 [0.94-1.10],0.738391126679132
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CRIP2,Cysteine-rich protein 2,Inverse variance weighted,11,0.96 [0.81-1.14],0.63827267121971
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CD14,Monocyte differentiation antigen CD14,Inverse variance weighted,17,0.95 [0.88-1.03],0.236009772237572
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,ADA2,Adenosine deaminase 2,Inverse variance weighted,18,0.94 [0.86-1.01],0.102080686233531
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,26,0.96 [0.91-1.03],0.266488996317516
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,REN,Renin,Inverse variance weighted,12,1.02 [0.87-1.19],0.814690014734115
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,EBI3_IL27,Interleukin-27,Inverse variance weighted,37,1.00 [0.95-1.06],0.898791463300785
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,REG1B,Lithostathine-1-beta,Inverse variance weighted,26,1.02 [0.95-1.09],0.61199418581194
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,ICAM1,Intercellular adhesion molecule 1,Inverse variance weighted,24,1.03 [0.95-1.11],0.444444232996881
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,SNCG,Gamma-synuclein,Inverse variance weighted,49,0.97 [0.93-1.02],0.217212814385498
Chapter IX Diseases of the circulatory system,Sequelae of cerebrovascular disease,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.02 [0.94-1.10],0.646928012972098
