Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",OCLN,Occludin,Inverse variance weighted,3,1.09 [0.93-1.27],0.290220430522982
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,0.96 [0.80-1.14],0.626301480251228
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,26,0.99 [0.95-1.03],0.629804919139566
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,Inverse variance weighted,11,0.96 [0.92-1.00],0.0719583745754818
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",LCN2,Neutrophil gelatinase-associated lipocalin,Inverse variance weighted,21,0.92 [0.84-1.01],0.0790117516041282
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",IMMT,MICOS complex subunit MIC60,Inverse variance weighted,2,1.01 [0.87-1.17],0.857532460577668
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",MMP12,Macrophage metalloelastase,Inverse variance weighted,21,0.94 [0.91-0.98],0.0012310256461192
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",CD46,Membrane cofactor protein,Inverse variance weighted,3,0.93 [0.75-1.16],0.537819271673842
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",ACTA2,"Actin, aortic smooth muscle",Wald ratio,1,1.31 [0.96-1.79],0.0918894563500111
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.92 [0.66-1.28],0.617591215546001
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",COL18A1,Collagen alpha-1(XVIII) chain,Inverse variance weighted,17,0.96 [0.88-1.06],0.422601262994708
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",AREG,Amphiregulin,Inverse variance weighted,7,0.99 [0.90-1.10],0.877139755593816
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",SMOC2,SPARC-related modular calcium-binding protein 2,Inverse variance weighted,30,0.96 [0.92-1.00],0.060708307714778
Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",RARRES2,Retinoic acid receptor responder protein 2,Inverse variance weighted,4,1.02 [0.93-1.11],0.707351739182919
