Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",KIT,Mast/stem cell growth factor receptor Kit,Inverse variance weighted,50,1.00 [0.90-1.10],0.984856670928498
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",PRSS8,Prostasin,Inverse variance weighted,19,1.08 [0.93-1.24],0.306296733121962
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",CXCL10,C-X-C motif chemokine 10,Inverse variance weighted,9,1.06 [0.89-1.25],0.504686088701283
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,1.01 [0.73-1.38],0.973911701144903
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",POLR2F,"DNA-directed RNA polymerases I, II, and III subunit RPABC2",Wald ratio,1,0.54 [0.22-1.31],0.17294716014051
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",CHI3L1,Chitinase-3-like protein 1,Inverse variance weighted,28,1.01 [0.96-1.06],0.79864638873313
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",IL18BP,Interleukin-18-binding protein,Inverse variance weighted,13,0.83 [0.70-0.99],0.0371683915367822
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",CHGA,Chromogranin-A,Inverse variance weighted,8,1.04 [0.85-1.26],0.709645555135527
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",RARRES2,Retinoic acid receptor responder protein 2,Inverse variance weighted,4,1.12 [0.95-1.33],0.1898221891116
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,10,0.90 [0.76-1.07],0.244639743735437
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",EPHB4,Ephrin type-B receptor 4,Inverse variance weighted,11,1.00 [0.87-1.15],0.981692281458055
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",PRTN3,Myeloblastin,Inverse variance weighted,41,0.99 [0.93-1.06],0.735497619694122
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,Inverse variance weighted,6,0.97 [0.84-1.11],0.647059027682787
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",MZB1,Marginal zone B- and B1-cell-specific protein,Inverse variance weighted,19,0.92 [0.76-1.13],0.431125322343219
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.75 [0.54-1.06],0.10558718392089
Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",ULBP2,UL16-binding protein 2,Inverse variance weighted,37,1.06 [1.01-1.12],0.0120581147679714
