Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,IGFBP3,Insulin-like growth factor-binding protein 3,Inverse variance weighted,41,1.11 [0.98-1.26],0.0902037988622216
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,0.90 [0.62-1.30],0.573025156510284
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,CCL20,C-C motif chemokine 20,Inverse variance weighted,8,0.81 [0.57-1.16],0.248776972147064
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,1.23 [0.71-2.13],0.462595000242954
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,SCARA5,Scavenger receptor class A member 5,Inverse variance weighted,15,0.93 [0.79-1.10],0.39083723670508
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,NFASC,Neurofascin,Inverse variance weighted,19,0.90 [0.78-1.04],0.166971143823503
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,KLRB1,Killer cell lectin-like receptor subfamily B member 1,Inverse variance weighted,19,0.96 [0.77-1.19],0.700267234739956
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,FAM20A,Pseudokinase FAM20A,Inverse variance weighted,21,1.07 [0.91-1.27],0.386626639359144
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,LY96,Lymphocyte antigen 96,Inverse variance weighted,19,0.94 [0.71-1.25],0.681111907515145
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,FCN1,Ficolin-1,Inverse variance weighted,50,0.90 [0.80-1.01],0.0650315715535131
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,HYOU1,Hypoxia up-regulated protein 1,Inverse variance weighted,22,1.15 [0.93-1.43],0.19932079973012
