Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,5,0.71 [0.49-1.01],0.0580006177869175
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,CHRDL1,Chordin-like protein 1,Inverse variance weighted,3,1.07 [0.65-1.75],0.803295168486198
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,MFAP5,Microfibrillar-associated protein 5,Inverse variance weighted,2,0.72 [0.27-1.94],0.520797597968724
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,NT5C1A,Cytosolic 5'-nucleotidase 1A,Inverse variance weighted,4,1.22 [0.97-1.53],0.0930276784160293
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,Inverse variance weighted,4,0.98 [0.71-1.35],0.902342927501619
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,CD300A,CMRF35-like molecule 8,Inverse variance weighted,35,0.93 [0.85-1.02],0.125519250521733
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,GIPC2,PDZ domain-containing protein GIPC2,Inverse variance weighted,16,1.01 [0.91-1.12],0.853785684767617
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,REN,Renin,Inverse variance weighted,12,1.04 [0.91-1.20],0.557416768961211
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,SCG2,Secretogranin-2,Inverse variance weighted,3,0.73 [0.35-1.50],0.388875492209652
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,DKK4,Dickkopf-related protein 4,Inverse variance weighted,18,1.27 [1.05-1.53],0.0145137086138003
"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,CCL23,C-C motif chemokine 23,Inverse variance weighted,23,1.02 [0.95-1.11],0.523682458591024
