Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,KLK11,Kallikrein-11,Inverse variance weighted,19,0.97 [0.87-1.08],0.612298623853519
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,CD83,CD83 antigen,Inverse variance weighted,19,0.85 [0.68-1.07],0.162298990381757
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,EPHB6,Ephrin type-B receptor 6,Inverse variance weighted,11,1.11 [0.91-1.35],0.312931787257134
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,SORCS2,VPS10 domain-containing receptor SorCS2,Inverse variance weighted,30,1.00 [0.90-1.12],0.938467191774141
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,CD302,CD302 antigen,Inverse variance weighted,17,1.01 [0.86-1.19],0.906125099507316
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.02 [0.78-1.35],0.871553210592356
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Inverse variance weighted,4,0.70 [0.45-1.10],0.120989221042708
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,1.52 [0.39-5.87],0.542197840008217
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,IGSF8,Immunoglobulin superfamily member 8,Inverse variance weighted,6,0.97 [0.75-1.25],0.796236965260563
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,GPR37,Prosaposin receptor GPR37,Inverse variance weighted,62,1.00 [0.94-1.07],0.975360277445752
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,17,1.00 [0.88-1.14],0.95958361001796
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,1.10 [0.78-1.54],0.57855692438779
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,11,1.02 [0.73-1.44],0.901355233845561
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,1.07 [0.94-1.21],0.295779561437609
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,PGF,Placenta growth factor,Inverse variance weighted,8,0.84 [0.58-1.21],0.348241541917877
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,DSC2,Desmocollin-2,Inverse variance weighted,16,0.92 [0.80-1.07],0.271902484599328
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,1.50 [0.63-3.56],0.358163748781026
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,CCL14,C-C motif chemokine 14,Inverse variance weighted,17,1.04 [0.96-1.14],0.338226913196066
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,1.02 [0.71-1.46],0.922798580907816
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,ACVRL1,Serine/threonine-protein kinase receptor R3,Inverse variance weighted,16,0.95 [0.83-1.09],0.478782024170016
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,AGRN,Agrin,Inverse variance weighted,31,1.04 [0.91-1.17],0.587622772367683
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,SHISA5,Protein shisa-5,Inverse variance weighted,16,1.10 [0.82-1.47],0.513490145374192
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,SPON2,Spondin-2,Inverse variance weighted,8,0.98 [0.82-1.18],0.863059523139457
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,0.95 [0.62-1.47],0.825290467426213
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,KLK4,Kallikrein-4,Inverse variance weighted,20,1.02 [0.90-1.14],0.770796792337275
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,IL18BP,Interleukin-18-binding protein,Inverse variance weighted,13,0.86 [0.63-1.17],0.328110158607588
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,TFF2,Trefoil factor 2,Inverse variance weighted,16,0.99 [0.81-1.22],0.94730120732603
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,NECTIN2,Nectin-2,Inverse variance weighted,8,0.96 [0.84-1.11],0.609282221259621
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,ACTA2,"Actin, aortic smooth muscle",Wald ratio,1,1.02 [0.45-2.31],0.958397581180432
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Inverse variance weighted,17,1.03 [0.82-1.30],0.782153576342993
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,XG,Glycoprotein Xg,Inverse variance weighted,2,0.95 [0.41-2.20],0.913656106190538
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,SCG2,Secretogranin-2,Inverse variance weighted,3,0.94 [0.55-1.60],0.807102503959253
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,FABP1,"Fatty acid-binding protein, liver",Inverse variance weighted,6,1.01 [0.80-1.26],0.946815412000975
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,1.05 [0.64-1.71],0.860536466233747
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,RNASE6,Ribonuclease K6,Inverse variance weighted,20,1.06 [0.94-1.19],0.318878999901191
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,CST3,Cystatin-C,Inverse variance weighted,13,0.99 [0.82-1.19],0.927553658780687
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,0.90 [0.63-1.28],0.548034349055161
Chapter XIV Diseases of the genitourinary system,Hydronephrosis,RARRES2,Retinoic acid receptor responder protein 2,Inverse variance weighted,4,0.95 [0.75-1.19],0.632440115131951
