Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,0.96 [0.78-1.18],0.704455049964607
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CSTB,Cystatin-B,Inverse variance weighted,25,1.04 [1.00-1.09],0.0493460074380686
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,5,1.24 [0.90-1.69],0.184654148332294
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,10,1.05 [0.90-1.21],0.548718870708182
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",PI3,Elafin,Inverse variance weighted,20,1.05 [0.99-1.11],0.122576125636561
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CCL27,C-C motif chemokine 27,Inverse variance weighted,12,1.10 [0.83-1.47],0.497168046896776
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",Inverse variance weighted,9,0.99 [0.87-1.13],0.93864954770381
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",TIMP1,Metalloproteinase inhibitor 1,Inverse variance weighted,2,0.91 [0.68-1.22],0.521792012351914
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,25,1.06 [0.99-1.13],0.111991256510247
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,0.99 [0.73-1.34],0.938688717985411
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",RNASE6,Ribonuclease K6,Inverse variance weighted,20,1.02 [0.97-1.08],0.355094362904659
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",THY1,Thy-1 membrane glycoprotein,Inverse variance weighted,10,1.04 [1.00-1.09],0.0607159102184272
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SEPTIN8,Septin-8,Inverse variance weighted,6,1.08 [0.96-1.22],0.1808120094879
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADA2,Adenosine deaminase 2,Inverse variance weighted,18,1.01 [0.93-1.09],0.805777215904301
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",QPCT,Glutaminyl-peptide cyclotransferase,Inverse variance weighted,22,1.01 [0.96-1.07],0.595376479954707
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",IGLC2,Immunoglobulin lambda constant 2,Inverse variance weighted,14,1.00 [0.89-1.13],0.991079302405153
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",PRAP1,Proline-rich acidic protein 1,Inverse variance weighted,7,1.02 [0.92-1.13],0.707790030269661
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",PALM,Paralemmin-1,Inverse variance weighted,10,1.08 [0.94-1.24],0.29336857111773
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SIGLEC1,Sialoadhesin,Inverse variance weighted,31,1.00 [0.93-1.08],0.974186240897581
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ULBP2,UL16-binding protein 2,Inverse variance weighted,37,0.98 [0.95-1.02],0.328736999800267
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,1.05 [0.79-1.41],0.729305298582365
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",VCAM1,Vascular cell adhesion protein 1,Inverse variance weighted,11,1.13 [0.98-1.29],0.0870363959625617
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",RRM2,Ribonucleoside-diphosphate reductase subunit M2,Wald ratio,1,1.17 [0.76-1.78],0.478230091127407
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Inverse variance weighted,10,0.98 [0.88-1.09],0.728345706688375
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",FCER2,Low affinity immunoglobulin epsilon Fc receptor,Inverse variance weighted,39,0.98 [0.92-1.04],0.485072219122667
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",REN,Renin,Inverse variance weighted,12,1.13 [0.96-1.33],0.153387338830137
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Inverse variance weighted,19,1.04 [0.97-1.12],0.259840737665385
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,Inverse variance weighted,3,0.95 [0.77-1.16],0.607493116184811
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",MDK,Midkine,Inverse variance weighted,19,1.06 [0.96-1.16],0.251157238537853
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",IL15RA,Interleukin-15 receptor subunit alpha,Inverse variance weighted,17,1.01 [0.95-1.07],0.795673646923782
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",DPT,Dermatopontin,Inverse variance weighted,26,0.99 [0.93-1.07],0.881117566368323
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SPON2,Spondin-2,Inverse variance weighted,8,1.00 [0.91-1.10],0.973064153168911
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CD302,CD302 antigen,Inverse variance weighted,17,0.95 [0.89-1.03],0.226558197660529
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.02 [0.99-1.05],0.247587722653464
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",PSAP,Prosaposin,Inverse variance weighted,13,1.01 [0.94-1.09],0.739957254275881
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",FGA,Fibrinogen alpha chain,Inverse variance weighted,10,0.99 [0.80-1.23],0.934603556757418
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",LRG1,Leucine-rich alpha-2-glycoprotein,Inverse variance weighted,27,0.97 [0.92-1.02],0.23137893876604
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ACE2,Angiotensin-converting enzyme 2,Inverse variance weighted,11,0.88 [0.72-1.07],0.195327772266128
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",MFGE8,Lactadherin,Inverse variance weighted,26,1.07 [0.97-1.17],0.187321550341805
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CXCL9,C-X-C motif chemokine 9,Inverse variance weighted,11,1.01 [0.81-1.27],0.914404202420711
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",FURIN,Furin,Inverse variance weighted,6,1.19 [1.00-1.40],0.0461608370722423
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,1.04 [0.99-1.10],0.129012020960681
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CCN3,CCN family member 3,Inverse variance weighted,20,1.02 [0.90-1.15],0.809173372857956
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CCL20,C-C motif chemokine 20,Inverse variance weighted,8,1.05 [0.92-1.21],0.466289883644089
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",STC1,Stanniocalcin-1,Inverse variance weighted,11,1.00 [0.83-1.22],0.962796408529816
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",NUCB2,Nucleobindin-2,Inverse variance weighted,28,1.03 [0.97-1.09],0.400487663527062
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,17,0.97 [0.91-1.04],0.40909729609084
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",HNMT,Histamine N-methyltransferase,Inverse variance weighted,32,0.98 [0.95-1.01],0.256861803742009
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",NPY,Pro-neuropeptide Y,Inverse variance weighted,18,1.13 [0.94-1.36],0.186865750631628
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",POF1B,Protein POF1B,Inverse variance weighted,4,0.98 [0.80-1.21],0.87818931675972
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,0.84 [0.68-1.04],0.101831723416662
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",LPA,Apolipoprotein(a),Inverse variance weighted,46,1.16 [1.13-1.20],1.4212770598910002e-19
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",MMP12,Macrophage metalloelastase,Inverse variance weighted,21,1.00 [0.96-1.03],0.885032050702132
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,26,0.98 [0.94-1.02],0.33340476448287
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",VSIG2,V-set and immunoglobulin domain-containing protein 2,Inverse variance weighted,5,0.94 [0.85-1.03],0.166153680912858
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",GPR37,Prosaposin receptor GPR37,Inverse variance weighted,62,0.99 [0.95-1.03],0.639681077489565
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,15,1.03 [0.95-1.12],0.424059134013649
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",COLEC12,Collectin-12,Inverse variance weighted,13,1.00 [0.90-1.10],0.968708020942567
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",PGA4,Pepsin A-4,Inverse variance weighted,9,1.06 [0.90-1.25],0.486876502707346
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CXCL10,C-X-C motif chemokine 10,Inverse variance weighted,9,1.01 [0.91-1.11],0.913374076455732
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",DEFA1_DEFA1B,Neutrophil defensin 1,Inverse variance weighted,31,0.98 [0.92-1.04],0.526160098027714
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SCG2,Secretogranin-2,Inverse variance weighted,3,1.04 [0.83-1.30],0.747494101642844
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",AGRP,Agouti-related protein,Inverse variance weighted,20,1.19 [0.97-1.46],0.10326569755076
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,0.97 [0.93-1.01],0.13389993138661
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",INHBB,Inhibin beta B chain,Inverse variance weighted,16,0.99 [0.89-1.12],0.923556677354498
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ESAM,Endothelial cell-selective adhesion molecule,Inverse variance weighted,5,1.14 [0.96-1.35],0.123490666344843
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CFD,Complement factor D,Inverse variance weighted,12,1.00 [0.93-1.08],0.922711639259457
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",DPY30,Protein dpy-30 homolog,Inverse variance weighted,2,1.00 [0.73-1.38],0.993026462017495
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,26,1.01 [0.95-1.08],0.663445288714218
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",NECTIN2,Nectin-2,Inverse variance weighted,8,0.99 [0.89-1.10],0.799188457715236
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",REG4,Regenerating islet-derived protein 4,Inverse variance weighted,19,1.05 [0.93-1.19],0.401808618881776
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",MANSC1,MANSC domain-containing protein 1,Inverse variance weighted,15,0.98 [0.87-1.10],0.679849612454931
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",DRAXIN,Draxin,Inverse variance weighted,38,1.00 [0.96-1.04],0.918966858744429
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Inverse variance weighted,5,0.93 [0.64-1.34],0.687659905566596
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CTSL,Cathepsin L1,Inverse variance weighted,29,0.98 [0.90-1.08],0.716678050941251
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",EGFR,Epidermal growth factor receptor,Inverse variance weighted,15,1.07 [0.90-1.26],0.455904482895452
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",GM2A,Ganglioside GM2 activator,Inverse variance weighted,26,1.02 [0.99-1.06],0.147039049345448
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SNCG,Gamma-synuclein,Inverse variance weighted,49,0.98 [0.95-1.02],0.280098472802462
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",JAM2,Junctional adhesion molecule B,Inverse variance weighted,6,0.86 [0.72-1.03],0.0961613525783948
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",FOLR1,Folate receptor alpha,Inverse variance weighted,10,1.07 [0.97-1.19],0.184729838491482
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",TREM2,Triggering receptor expressed on myeloid cells 2,Inverse variance weighted,39,1.03 [0.98-1.08],0.205488074277747
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SCARB2,Lysosome membrane protein 2,Inverse variance weighted,17,1.04 [0.94-1.15],0.461221752822975
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",IMMT,MICOS complex subunit MIC60,Inverse variance weighted,2,0.82 [0.70-0.96],0.0144176903521596
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,28,1.02 [0.98-1.06],0.284518072420013
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CHGB,Secretogranin-1,Inverse variance weighted,33,0.99 [0.96-1.03],0.627050392763011
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",CD99L2,CD99 antigen-like protein 2,Inverse variance weighted,8,0.89 [0.72-1.12],0.325145634945147
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",NOS3,"Nitric oxide synthase, endothelial",Inverse variance weighted,5,0.77 [0.39-1.54],0.462916931267368
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ITGAV,Integrin alpha-V,Inverse variance weighted,14,1.11 [0.97-1.26],0.118342959272491
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",XG,Glycoprotein Xg,Inverse variance weighted,2,0.89 [0.62-1.26],0.501473444634332
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",SCARA5,Scavenger receptor class A member 5,Inverse variance weighted,15,0.97 [0.92-1.02],0.264959097583685
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",MSLN,Mesothelin,Inverse variance weighted,36,1.01 [0.97-1.06],0.595479659202906
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",ADGRG2,Adhesion G-protein coupled receptor G2,Inverse variance weighted,8,0.81 [0.69-0.95],0.0082024136474646
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",PLTP,Phospholipid transfer protein,Inverse variance weighted,30,1.01 [0.94-1.07],0.880664640911389
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",LECT2,Leukocyte cell-derived chemotaxin-2,Inverse variance weighted,53,1.02 [0.98-1.06],0.312863170380066
Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,0.99 [0.92-1.08],0.870245858239034
