Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Emphysema,TIMP1,Metalloproteinase inhibitor 1,Inverse variance weighted,2,1.18 [0.52-2.65],0.694683192897705
Chapter X Diseases of the respiratory system,Emphysema,GUSB,Beta-glucuronidase,Inverse variance weighted,35,0.93 [0.75-1.15],0.512187913712718
Chapter X Diseases of the respiratory system,Emphysema,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Inverse variance weighted,22,1.01 [0.90-1.14],0.832281957494033
Chapter X Diseases of the respiratory system,Emphysema,RNASET2,Ribonuclease T2,Inverse variance weighted,25,0.94 [0.81-1.08],0.376538399741027
Chapter X Diseases of the respiratory system,Emphysema,CXCL9,C-X-C motif chemokine 9,Inverse variance weighted,11,0.89 [0.60-1.34],0.582937094764407
Chapter X Diseases of the respiratory system,Emphysema,CTSD,Cathepsin D,Inverse variance weighted,24,1.04 [0.88-1.23],0.65675068655551
Chapter X Diseases of the respiratory system,Emphysema,NECTIN4,Nectin-4,Inverse variance weighted,12,1.12 [0.91-1.38],0.294157857659624
Chapter X Diseases of the respiratory system,Emphysema,PRCP,Lysosomal Pro-X carboxypeptidase,Inverse variance weighted,33,1.00 [0.85-1.19],0.96712502926804
Chapter X Diseases of the respiratory system,Emphysema,REN,Renin,Inverse variance weighted,12,0.81 [0.66-1.01],0.055731039503396
Chapter X Diseases of the respiratory system,Emphysema,ANGPT2,Angiopoietin-2,Inverse variance weighted,11,1.00 [0.77-1.30],0.989505450964901
Chapter X Diseases of the respiratory system,Emphysema,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inverse variance weighted,19,1.00 [0.82-1.22],0.991627701809653
Chapter X Diseases of the respiratory system,Emphysema,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.13 [0.88-1.46],0.332893360988401
Chapter X Diseases of the respiratory system,Emphysema,IL6,Interleukin-6,Inverse variance weighted,6,1.11 [0.84-1.47],0.468834059546243
Chapter X Diseases of the respiratory system,Emphysema,CCDC80,Coiled-coil domain-containing protein 80,Inverse variance weighted,13,1.37 [0.97-1.92],0.071958453549448
Chapter X Diseases of the respiratory system,Emphysema,FGA,Fibrinogen alpha chain,Inverse variance weighted,10,0.87 [0.62-1.22],0.420537053006189
Chapter X Diseases of the respiratory system,Emphysema,PDGFC,Platelet-derived growth factor C,Inverse variance weighted,10,1.13 [0.85-1.50],0.408404300971828
Chapter X Diseases of the respiratory system,Emphysema,CD46,Membrane cofactor protein,Inverse variance weighted,3,0.93 [0.51-1.68],0.802647242565133
Chapter X Diseases of the respiratory system,Emphysema,CCL17,C-C motif chemokine 17,Inverse variance weighted,35,0.95 [0.85-1.06],0.361991408157874
Chapter X Diseases of the respiratory system,Emphysema,CCN3,CCN family member 3,Inverse variance weighted,20,1.03 [0.85-1.25],0.756083159223337
Chapter X Diseases of the respiratory system,Emphysema,C1QA,Complement C1q subcomponent subunit A,Inverse variance weighted,36,1.13 [0.98-1.30],0.100894819968337
Chapter X Diseases of the respiratory system,Emphysema,THBS2,Thrombospondin-2,Inverse variance weighted,33,0.99 [0.88-1.12],0.899479749289555
Chapter X Diseases of the respiratory system,Emphysema,LBR,Delta(14)-sterol reductase LBR,Inverse variance weighted,2,1.02 [0.37-2.83],0.963681202796219
Chapter X Diseases of the respiratory system,Emphysema,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,1.05 [0.70-1.56],0.826658235707559
Chapter X Diseases of the respiratory system,Emphysema,RETN,Resistin,Inverse variance weighted,28,1.11 [0.98-1.27],0.108239195781279
Chapter X Diseases of the respiratory system,Emphysema,EDN1,Endothelin-1,Inverse variance weighted,3,1.12 [0.73-1.72],0.605284889954721
Chapter X Diseases of the respiratory system,Emphysema,CCL22,C-C motif chemokine 22,Inverse variance weighted,13,1.05 [0.76-1.46],0.762396581782101
Chapter X Diseases of the respiratory system,Emphysema,NTRK3,NT-3 growth factor receptor,Inverse variance weighted,15,1.12 [0.84-1.50],0.42847891355346
Chapter X Diseases of the respiratory system,Emphysema,MMP9,Matrix metalloproteinase-9,Inverse variance weighted,11,0.98 [0.74-1.30],0.876048663160674
Chapter X Diseases of the respiratory system,Emphysema,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,1.20 [0.89-1.61],0.22819525658343
Chapter X Diseases of the respiratory system,Emphysema,TP53I3,Quinone oxidoreductase PIG3,Inverse variance weighted,21,1.10 [0.96-1.26],0.165015760596148
Chapter X Diseases of the respiratory system,Emphysema,FETUB,Fetuin-B,Inverse variance weighted,25,1.17 [1.00-1.38],0.0574015903107312
Chapter X Diseases of the respiratory system,Emphysema,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,1.01 [0.93-1.10],0.861323636766086
Chapter X Diseases of the respiratory system,Emphysema,IL19,Interleukin-19,Inverse variance weighted,21,1.11 [0.95-1.30],0.185930387193082
Chapter X Diseases of the respiratory system,Emphysema,TMSB10,Thymosin beta-10,Wald ratio,1,0.57 [0.19-1.75],0.329110567964857
Chapter X Diseases of the respiratory system,Emphysema,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Inverse variance weighted,5,1.07 [0.63-1.79],0.806537691151219
Chapter X Diseases of the respiratory system,Emphysema,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,0.86 [0.73-1.01],0.0644940095547079
Chapter X Diseases of the respiratory system,Emphysema,IGSF8,Immunoglobulin superfamily member 8,Inverse variance weighted,6,0.95 [0.68-1.33],0.750908082589381
Chapter X Diseases of the respiratory system,Emphysema,ORM1,Alpha-1-acid glycoprotein 1,Inverse variance weighted,21,0.95 [0.80-1.12],0.528543828957786
Chapter X Diseases of the respiratory system,Emphysema,CCL18,C-C motif chemokine 18,Inverse variance weighted,19,1.09 [0.97-1.22],0.13242869900263
Chapter X Diseases of the respiratory system,Emphysema,MSLN,Mesothelin,Inverse variance weighted,36,1.04 [0.93-1.15],0.500081702114175
Chapter X Diseases of the respiratory system,Emphysema,SPON2,Spondin-2,Inverse variance weighted,8,0.96 [0.76-1.23],0.760545617944528
Chapter X Diseases of the respiratory system,Emphysema,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Inverse variance weighted,42,1.03 [0.89-1.19],0.70157283891727
Chapter X Diseases of the respiratory system,Emphysema,TGFBR2,TGF-beta receptor type-2,Inverse variance weighted,11,0.93 [0.59-1.47],0.767340357481218
Chapter X Diseases of the respiratory system,Emphysema,TFF2,Trefoil factor 2,Inverse variance weighted,16,1.33 [1.02-1.74],0.0348905596531566
Chapter X Diseases of the respiratory system,Emphysema,CCL3,C-C motif chemokine 3,Inverse variance weighted,15,1.01 [0.85-1.22],0.884739747281846
Chapter X Diseases of the respiratory system,Emphysema,VWC2,Brorin,Inverse variance weighted,35,1.01 [0.88-1.17],0.869945066129532
Chapter X Diseases of the respiratory system,Emphysema,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inverse variance weighted,18,1.16 [0.95-1.41],0.147789711600592
Chapter X Diseases of the respiratory system,Emphysema,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,Inverse variance weighted,4,0.94 [0.59-1.50],0.789398104088393
Chapter X Diseases of the respiratory system,Emphysema,HYAL1,Hyaluronidase-1,Inverse variance weighted,23,1.12 [0.96-1.30],0.148209266842294
Chapter X Diseases of the respiratory system,Emphysema,TAFA5,Chemokine-like protein TAFA-5,Inverse variance weighted,15,1.08 [0.87-1.33],0.499741788754202
Chapter X Diseases of the respiratory system,Emphysema,TNC,Tenascin,Inverse variance weighted,57,1.03 [0.94-1.14],0.501046082145061
Chapter X Diseases of the respiratory system,Emphysema,CTHRC1,Collagen triple helix repeat-containing protein 1,Inverse variance weighted,10,1.03 [0.63-1.70],0.899530029332705
Chapter X Diseases of the respiratory system,Emphysema,SMPD1,Sphingomyelin phosphodiesterase,Inverse variance weighted,34,1.14 [0.98-1.34],0.0852855672579969
Chapter X Diseases of the respiratory system,Emphysema,SIGLEC1,Sialoadhesin,Inverse variance weighted,31,0.88 [0.76-1.03],0.109766852666597
Chapter X Diseases of the respiratory system,Emphysema,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",Inverse variance weighted,34,0.95 [0.80-1.14],0.591300350252406
Chapter X Diseases of the respiratory system,Emphysema,FAP,Prolyl endopeptidase FAP,Inverse variance weighted,13,1.00 [0.77-1.29],0.97205371676144
Chapter X Diseases of the respiratory system,Emphysema,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Inverse variance weighted,23,1.18 [0.98-1.41],0.0733663097751897
Chapter X Diseases of the respiratory system,Emphysema,CD274,Programmed cell death 1 ligand 1,Inverse variance weighted,25,1.06 [0.90-1.25],0.487105581292827
Chapter X Diseases of the respiratory system,Emphysema,LECT2,Leukocyte cell-derived chemotaxin-2,Inverse variance weighted,53,1.01 [0.91-1.12],0.885170465926145
Chapter X Diseases of the respiratory system,Emphysema,AMBP,Protein AMBP,Inverse variance weighted,5,1.45 [0.98-2.16],0.0643417569798411
Chapter X Diseases of the respiratory system,Emphysema,ALPP,"Alkaline phosphatase, placental type",Inverse variance weighted,50,0.95 [0.85-1.07],0.385589061945442
Chapter X Diseases of the respiratory system,Emphysema,EGFR,Epidermal growth factor receptor,Inverse variance weighted,15,1.02 [0.69-1.50],0.92952467719699
Chapter X Diseases of the respiratory system,Emphysema,CXCL16,C-X-C motif chemokine 16,Inverse variance weighted,23,0.87 [0.71-1.07],0.194910356246179
Chapter X Diseases of the respiratory system,Emphysema,QPCT,Glutaminyl-peptide cyclotransferase,Inverse variance weighted,22,1.04 [0.92-1.17],0.523145352336114
Chapter X Diseases of the respiratory system,Emphysema,TNFSF13,Tumor necrosis factor ligand superfamily member 13,Inverse variance weighted,14,0.89 [0.66-1.19],0.427222942620082
Chapter X Diseases of the respiratory system,Emphysema,RNF149,E3 ubiquitin-protein ligase RNF149,Inverse variance weighted,10,0.91 [0.73-1.13],0.382808764102713
