Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SERPINF1,Pigment epithelium-derived factor,Inverse variance weighted,15,0.97 [0.93-1.02],0.242312934017143
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,TFF3,Trefoil factor 3,Inverse variance weighted,10,1.05 [0.97-1.14],0.240238418866375
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FGA,Fibrinogen alpha chain,Inverse variance weighted,10,1.01 [0.85-1.20],0.917440812269885
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CNTN5,Contactin-5,Inverse variance weighted,53,1.01 [0.98-1.03],0.632688517573749
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,ESAM,Endothelial cell-selective adhesion molecule,Inverse variance weighted,5,1.06 [0.93-1.20],0.382413773056497
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SNCG,Gamma-synuclein,Inverse variance weighted,49,0.99 [0.96-1.01],0.381028711715603
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,VCAM1,Vascular cell adhesion protein 1,Inverse variance weighted,11,1.10 [0.95-1.27],0.190246880508777
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,COLEC12,Collectin-12,Inverse variance weighted,13,1.01 [0.95-1.08],0.767735882414212
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SHISA5,Protein shisa-5,Inverse variance weighted,16,0.94 [0.85-1.05],0.289882240539949
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,MAMDC2,MAM domain-containing protein 2,Inverse variance weighted,22,1.01 [0.95-1.08],0.675320717933916
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SPON1,Spondin-1,Inverse variance weighted,25,1.02 [0.98-1.06],0.369186398788711
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FABP5,Fatty acid-binding protein 5,Wald ratio,1,0.98 [0.88-1.10],0.745474768517018
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,LAYN,Layilin,Inverse variance weighted,23,0.96 [0.92-1.00],0.0726590255195606
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD300E,CMRF35-like molecule 2,Inverse variance weighted,36,1.04 [1.00-1.08],0.0625208070718579
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CLEC4D,C-type lectin domain family 4 member D,Inverse variance weighted,9,0.94 [0.86-1.02],0.140242337894259
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,EFNA4,Ephrin-A4,Inverse variance weighted,5,1.02 [0.88-1.19],0.778660772389881
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",Inverse variance weighted,34,1.07 [0.99-1.16],0.0907152589854639
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,LRRN1,Leucine-rich repeat neuronal protein 1,Inverse variance weighted,41,1.00 [0.97-1.04],0.879506384202187
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,9,1.05 [0.96-1.15],0.292961792408378
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,B2M,Beta-2-microglobulin,Inverse variance weighted,7,1.19 [0.98-1.46],0.0814736940605358
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,PLTP,Phospholipid transfer protein,Inverse variance weighted,30,1.02 [0.96-1.08],0.53289407994882
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.02 [0.94-1.12],0.603036502532317
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,RNASE4,Ribonuclease 4,Inverse variance weighted,13,0.98 [0.93-1.03],0.340626662014739
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CCL25,C-C motif chemokine 25,Inverse variance weighted,49,0.99 [0.96-1.03],0.62134884978155
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CA14,Carbonic anhydrase 14,Inverse variance weighted,21,0.91 [0.82-1.01],0.0640422314451356
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Inverse variance weighted,25,0.99 [0.91-1.08],0.808893964026417
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,LPA,Apolipoprotein(a),Inverse variance weighted,46,1.15 [1.12-1.18],3.83858564432698e-21
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,SCARF2,Scavenger receptor class F member 2,Inverse variance weighted,18,1.01 [0.95-1.06],0.837187234355701
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,FAM20A,Pseudokinase FAM20A,Inverse variance weighted,21,1.04 [0.97-1.11],0.312151168801946
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,CCL14,C-C motif chemokine 14,Inverse variance weighted,17,1.02 [0.98-1.06],0.431849393144922
Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,0.99 [0.94-1.04],0.620442543006298
