Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,17,0.93 [0.65-1.32],0.677392345686057
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,CSF1,Macrophage colony-stimulating factor 1,Inverse variance weighted,12,1.08 [0.67-1.72],0.760216581030548
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,0.20 [0.02-2.27],0.193832846954476
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,0.65 [0.34-1.25],0.195913987263642
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,TFF3,Trefoil factor 3,Inverse variance weighted,10,0.52 [0.28-0.95],0.0326094813256127
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,HPGDS,Hematopoietic prostaglandin D synthase,Inverse variance weighted,27,0.92 [0.78-1.10],0.384276124556391
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,0.72 [0.26-2.01],0.526008800248878
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,1.19 [0.94-1.50],0.152058813034557
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,EPHB4,Ephrin type-B receptor 4,Inverse variance weighted,11,0.67 [0.41-1.11],0.122455435924566
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,EBI3_IL27,Interleukin-27,Inverse variance weighted,37,0.70 [0.53-0.91],0.0070871809265946
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,GFAP,Glial fibrillary acidic protein,Inverse variance weighted,14,1.19 [0.64-2.20],0.580524147627795
Chapter VI Diseases of the nervous system,Other and unspecified degenerative diseases of nervous system,CD27,CD27 antigen,Inverse variance weighted,18,0.97 [0.70-1.35],0.872570720313294
