Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,VCAM1,Vascular cell adhesion protein 1,Inverse variance weighted,11,0.91 [0.75-1.10],0.306806522952456
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,FABP4,"Fatty acid-binding protein, adipocyte",Inverse variance weighted,2,0.83 [0.60-1.14],0.250867026436375
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,LMNB2,Lamin-B2,Inverse variance weighted,9,1.12 [0.94-1.33],0.220832847139894
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,1.01 [0.81-1.26],0.924682407700186
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CD99,CD99 antigen,Inverse variance weighted,4,0.84 [0.69-1.03],0.0932290022698293
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CALB1,Calbindin,Inverse variance weighted,11,1.07 [0.92-1.24],0.379132587818578
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,LMOD1,Leiomodin-1,Inverse variance weighted,6,1.00 [0.90-1.12],0.92746113822853
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,MMP3,Stromelysin-1,Inverse variance weighted,35,1.02 [0.96-1.08],0.58357745894196
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,1.01 [0.75-1.36],0.954911214011503
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,IL1R1,Interleukin-1 receptor type 1,Inverse variance weighted,22,1.04 [0.96-1.12],0.328008609429635
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,EDN1,Endothelin-1,Inverse variance weighted,3,0.97 [0.87-1.08],0.562021075347352
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,RSPO1,R-spondin-1,Inverse variance weighted,14,1.00 [0.93-1.08],0.963942073223943
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CCL16,C-C motif chemokine 16,Inverse variance weighted,26,1.02 [0.99-1.06],0.208071393755666
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,PCDHB15,Protocadherin beta-15,Inverse variance weighted,43,0.99 [0.96-1.02],0.521413384075025
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,COL15A1,Collagen alpha-1(XV) chain,Inverse variance weighted,10,1.03 [0.94-1.12],0.573137480762805
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,SCARF2,Scavenger receptor class F member 2,Inverse variance weighted,18,0.97 [0.91-1.04],0.399443204023857
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.86 [0.67-1.09],0.209265797910556
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,CDH6,Cadherin-6,Inverse variance weighted,34,1.05 [1.01-1.09],0.0231778965943857
