Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Generalized epilepsy,IL1RL1,Interleukin-1 receptor-like 1,Inverse variance weighted,66,0.95 [0.86-1.05],0.336123713522041
Chapter VI Diseases of the nervous system,Generalized epilepsy,HYAL1,Hyaluronidase-1,Inverse variance weighted,23,1.06 [0.88-1.27],0.557628147895756
Chapter VI Diseases of the nervous system,Generalized epilepsy,NEFL,Neurofilament light polypeptide,Inverse variance weighted,6,0.99 [0.26-3.78],0.993001827261754
Chapter VI Diseases of the nervous system,Generalized epilepsy,NOS3,"Nitric oxide synthase, endothelial",Inverse variance weighted,5,0.82 [0.30-2.28],0.706967435099424
Chapter VI Diseases of the nervous system,Generalized epilepsy,ANPEP,Aminopeptidase N,Inverse variance weighted,25,1.16 [0.98-1.39],0.093001222036711
Chapter VI Diseases of the nervous system,Generalized epilepsy,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,31,1.10 [0.80-1.52],0.563323528963852
Chapter VI Diseases of the nervous system,Generalized epilepsy,NCS1,Neuronal calcium sensor 1,Inverse variance weighted,18,1.33 [0.98-1.81],0.0672568965323112
Chapter VI Diseases of the nervous system,Generalized epilepsy,CD14,Monocyte differentiation antigen CD14,Inverse variance weighted,17,0.90 [0.69-1.17],0.430084987730805
Chapter VI Diseases of the nervous system,Generalized epilepsy,CPM,Carboxypeptidase M,Inverse variance weighted,23,1.26 [0.95-1.68],0.114371535483184
Chapter VI Diseases of the nervous system,Generalized epilepsy,GUSB,Beta-glucuronidase,Inverse variance weighted,35,1.13 [0.90-1.43],0.280365714551965
Chapter VI Diseases of the nervous system,Generalized epilepsy,GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,1.13 [0.63-2.00],0.68538112911336
Chapter VI Diseases of the nervous system,Generalized epilepsy,ACE2,Angiotensin-converting enzyme 2,Inverse variance weighted,11,1.32 [0.75-2.32],0.329077836129041
Chapter VI Diseases of the nervous system,Generalized epilepsy,SEZ6L2,Seizure 6-like protein 2,Inverse variance weighted,14,1.10 [0.81-1.49],0.531048942059174
Chapter VI Diseases of the nervous system,Generalized epilepsy,GGT1,Glutathione hydrolase 1 proenzyme,Inverse variance weighted,16,0.91 [0.70-1.19],0.500641278920539
Chapter VI Diseases of the nervous system,Generalized epilepsy,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,Inverse variance weighted,3,1.49 [0.71-3.16],0.295168345262987
Chapter VI Diseases of the nervous system,Generalized epilepsy,CXCL13,C-X-C motif chemokine 13,Inverse variance weighted,2,1.90 [0.63-5.69],0.254717696436304
Chapter VI Diseases of the nervous system,Generalized epilepsy,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,31,1.03 [0.84-1.26],0.794839239537902
Chapter VI Diseases of the nervous system,Generalized epilepsy,PRCP,Lysosomal Pro-X carboxypeptidase,Inverse variance weighted,33,0.97 [0.79-1.20],0.802420495649208
Chapter VI Diseases of the nervous system,Generalized epilepsy,COL4A1,Collagen alpha-1(IV) chain,Inverse variance weighted,31,0.92 [0.77-1.11],0.397626030791515
