Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,CD83,CD83 antigen,Inverse variance weighted,19,0.89 [0.67-1.17],0.394299828544042
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,PRG2,Bone marrow proteoglycan,Inverse variance weighted,40,0.89 [0.76-1.05],0.159191807956606
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,SPP1,Osteopontin,Inverse variance weighted,19,0.93 [0.66-1.30],0.663393745078989
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,RNASET2,Ribonuclease T2,Inverse variance weighted,25,1.10 [0.92-1.31],0.289360233304158
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,DTNB,Dystrobrevin beta,Inverse variance weighted,4,0.52 [0.16-1.68],0.274699937864634
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,DTX3,Probable E3 ubiquitin-protein ligase DTX3,Inverse variance weighted,16,0.97 [0.74-1.27],0.828030785271407
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,REG1B,Lithostathine-1-beta,Inverse variance weighted,26,0.97 [0.83-1.15],0.758653398639608
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,1.32 [1.07-1.63],0.0107980043754762
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,GOLM2,Protein GOLM2,Inverse variance weighted,14,1.02 [0.81-1.29],0.871315050587011
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,FAM3B,Protein FAM3B,Inverse variance weighted,26,1.03 [0.91-1.16],0.622730224504872
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,SMOC1,SPARC-related modular calcium-binding protein 1,Inverse variance weighted,27,1.01 [0.82-1.23],0.932796771124067
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,POF1B,Protein POF1B,Inverse variance weighted,4,1.82 [0.96-3.47],0.0683715403603759
Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,FBLN2,Fibulin-2,Inverse variance weighted,17,1.25 [1.05-1.51],0.0147963711033091
