Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,IL2RA,Interleukin-2 receptor subunit alpha,Inverse variance weighted,29,0.98 [0.93-1.05],0.611710462739041
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,GPR15L,Protein GPR15L,Inverse variance weighted,13,1.01 [0.93-1.09],0.894105312332789
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,IL36G,Interleukin-36 gamma,Inverse variance weighted,3,0.99 [0.75-1.30],0.930802492300686
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,LGALS9,Galectin-9,Inverse variance weighted,39,1.06 [0.99-1.14],0.104927522085968
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,CD80,T-lymphocyte activation antigen CD80,Inverse variance weighted,26,1.03 [0.96-1.11],0.385608177126474
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,MSR1,Macrophage scavenger receptor types I and II,Inverse variance weighted,25,1.01 [0.92-1.10],0.908902758048631
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,IL6,Interleukin-6,Inverse variance weighted,6,0.91 [0.81-1.02],0.0903270423257803
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,IL19,Interleukin-19,Inverse variance weighted,21,1.05 [0.99-1.10],0.112038541876678
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,PLA2G15,Phospholipase A2 group XV,Inverse variance weighted,32,0.95 [0.90-1.01],0.0900232876816973
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,SBSN,Suprabasin,Inverse variance weighted,28,1.03 [0.98-1.08],0.29321768379649
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,9,0.95 [0.82-1.10],0.500339761697204
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,IL22,Interleukin-22,Inverse variance weighted,5,1.00 [0.39-2.53],0.998716520921979
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,BCAN,Brevican core protein,Inverse variance weighted,15,0.96 [0.89-1.05],0.397772822781036
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,SIGLEC7,Sialic acid-binding Ig-like lectin 7,Inverse variance weighted,16,1.03 [0.96-1.10],0.430070412340022
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.14 [0.96-1.34],0.131826327779615
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,CDCP1,CUB domain-containing protein 1,Inverse variance weighted,23,1.00 [0.94-1.07],0.989796621288176
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.06 [0.91-1.23],0.44526888876762
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,RRM2,Ribonucleoside-diphosphate reductase subunit M2,Wald ratio,1,1.53 [0.92-2.54],0.0979871599004872
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,CXCL10,C-X-C motif chemokine 10,Inverse variance weighted,9,1.03 [0.85-1.24],0.75971746168613
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,NOMO1,Nodal modulator 1,Inverse variance weighted,26,1.01 [0.96-1.06],0.692677935800451
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Inverse variance weighted,13,1.09 [0.96-1.23],0.165193967710107
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,DEFB4A_DEFB4B,Beta-defensin 4A,Inverse variance weighted,10,1.15 [0.72-1.83],0.550915191884481
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,KLK13,Kallikrein-13,Inverse variance weighted,23,1.04 [0.99-1.09],0.106877663239227
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,PI3,Elafin,Inverse variance weighted,20,1.14 [0.96-1.36],0.14170676468164
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,WFDC12,WAP four-disulfide core domain protein 12,Inverse variance weighted,59,1.01 [0.96-1.07],0.640037535166625
Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,29,1.01 [0.97-1.06],0.574716337575604
