Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,REG1A,Lithostathine-1-alpha,Inverse variance weighted,26,0.85 [0.56-1.30],0.462878274957256
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,PALM,Paralemmin-1,Inverse variance weighted,10,1.00 [0.43-2.33],0.991891561174818
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,SHISA5,Protein shisa-5,Inverse variance weighted,16,1.66 [0.53-5.18],0.383755945532858
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,FCER2,Low affinity immunoglobulin epsilon Fc receptor,Inverse variance weighted,39,1.16 [0.76-1.78],0.495862156973241
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,CLEC14A,C-type lectin domain family 14 member A,Inverse variance weighted,4,3.67 [0.93-14.52],0.0637388888545145
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,VSIG4,V-set and immunoglobulin domain-containing protein 4,Inverse variance weighted,12,2.34 [0.70-7.83],0.168807286906685
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,0.82 [0.37-1.82],0.624008504601925
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,CD59,CD59 glycoprotein,Inverse variance weighted,8,0.71 [0.26-1.97],0.508129660919946
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,GM2A,Ganglioside GM2 activator,Inverse variance weighted,26,0.96 [0.72-1.29],0.792886233595038
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,ITGBL1,Integrin beta-like protein 1,Inverse variance weighted,27,0.74 [0.44-1.23],0.242711412584395
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,0.56 [0.35-0.90],0.0158725335034366
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,CRIM1,Cysteine-rich motor neuron 1 protein,Inverse variance weighted,14,1.04 [0.43-2.48],0.937734542468288
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,CST3,Cystatin-C,Inverse variance weighted,13,0.71 [0.34-1.48],0.364117670316042
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,FGFR2,Fibroblast growth factor receptor 2,Inverse variance weighted,13,0.37 [0.13-1.07],0.0671333278933322
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,GUCA2A,Guanylin,Inverse variance weighted,16,1.41 [0.70-2.86],0.335066841862087
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,PTPRN2,Receptor-type tyrosine-protein phosphatase N2,Inverse variance weighted,5,0.73 [0.26-2.03],0.545393681244665
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,NECTIN2,Nectin-2,Inverse variance weighted,8,0.78 [0.45-1.33],0.363268371540737
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,29,1.30 [0.91-1.87],0.154539647369666
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,TGOLN2,Trans-Golgi network integral membrane protein 2,Inverse variance weighted,38,1.19 [0.88-1.60],0.252207399625643
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,VGF,Neurosecretory protein VGF,Inverse variance weighted,2,0.30 [0.00-19.53],0.570921225116366
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,THY1,Thy-1 membrane glycoprotein,Inverse variance weighted,10,1.23 [0.79-1.91],0.369760753903491
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,28,0.76 [0.54-1.05],0.092915916611767
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,PILRA,Paired immunoglobulin-like type 2 receptor alpha,Inverse variance weighted,61,1.08 [0.88-1.32],0.462374335221263
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,SCG2,Secretogranin-2,Inverse variance weighted,3,0.67 [0.08-5.26],0.700607643387008
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,UMOD,Uromodulin,Inverse variance weighted,62,1.04 [0.83-1.31],0.722871853662357
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Inverse variance weighted,11,1.37 [0.74-2.54],0.320799747534265
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,CDH3,Cadherin-3,Inverse variance weighted,12,0.69 [0.25-1.87],0.464073838967848
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,SPON2,Spondin-2,Inverse variance weighted,8,0.78 [0.33-1.83],0.564931965718014
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,Inverse variance weighted,49,0.97 [0.75-1.26],0.831205683482683
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,DLL1,Delta-like protein 1,Inverse variance weighted,13,0.61 [0.22-1.71],0.346142951920532
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,FBLN2,Fibulin-2,Inverse variance weighted,17,0.78 [0.48-1.25],0.303485717544273
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,RNASE4,Ribonuclease 4,Inverse variance weighted,13,1.11 [0.57-2.18],0.758108326948052
Chapter XIV Diseases of the genitourinary system,Recurrent and persistent haematuria,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,7.98 [1.45-43.88],0.0169517652911535
