Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
WFDC12,WAP four-disulfide core domain protein 12,Lifestyle factors,X1050.Time spend outdoors in summer,49005,0.0526639233451409,0.0168985356570298,0.0195427934573625,0.0857850532329193,0.00183236100019004
WFDC12,WAP four-disulfide core domain protein 12,Lifestyle factors,X1060.Time spent outdoors in winter,45285,0.0658723754975567,0.0192490929606492,0.0281441532946843,0.103600597700429,0.000622581817313753
WFDC12,WAP four-disulfide core domain protein 12,Physical activities,X1070.Time spent watching television (TV),50588,-0.0573163196154686,0.0171207672528378,-0.0908730234310308,-0.0237596157999065,0.000815807738630178
WFDC12,WAP four-disulfide core domain protein 12,Physical activities,X1080.Time spent using computer,45275,-0.0558292239515874,0.0180240421148978,-0.0911563464967872,-0.0205021014063877,0.00195428940339084
WFDC12,WAP four-disulfide core domain protein 12,Physical activities,X1090.Time spent driving,42646,-0.0070238869481742,0.0199343973076703,-0.046095305671208,0.0320475317748595,0.724579798794627
WFDC12,WAP four-disulfide core domain protein 12,Lifestyle factors,X1160.Sleep duration,52126,-0.011177495871168,0.0155103414259228,-0.0415777650659767,0.0192227733236406,0.471132226776529
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34149,0.0182449683406916,0.0242617274940829,-0.0293080175477108,0.065797954229094,0.452065611062621
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34149,-0.0147573105275894,0.0217890798248793,-0.0574639069843529,0.0279492859291742,0.498244400992554
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34149,0.0395500266754,0.025995072919454,-0.0114003162467299,0.0905003695975299,0.128181263206268
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34149,-0.000301875968618391,0.0265547214141173,-0.0523491299402883,0.0517453780030515,0.990930020576727
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34149,0.0234623686102631,0.0269022749000456,-0.0292660901938263,0.0761908274143525,0.383157278512979
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34149,-0.0553645477376134,0.0516375044528214,-0.156574056465143,0.0458449609899166,0.283667194052598
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34149,0.00743175665381538,0.0516198392703895,-0.093743128316148,0.108606641623779,0.885526410739637
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34149,-0.0518596177807172,0.0394828703308313,-0.129246043629147,0.0255268080677121,0.189055255312685
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34149,-0.00835365352967314,0.028318944106566,-0.0638587839785425,0.0471514769191962,0.768011928532379
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34149,-0.0248983509660374,0.0195604960949273,-0.0632369233120949,0.0134402213800202,0.203087756160452
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34149,0.0182284182576454,0.0272342420892405,-0.035150696237266,0.0716075327525568,0.503307415561608
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34149,-0.0205961996813029,0.0166869967247142,-0.0533027132617428,0.012110313899137,0.21713355552637
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34149,0.00664471948679038,0.0208199736907901,-0.0341624289471583,0.047451867920739,0.749618738242764
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34149,0.0253709512375701,0.029777520060513,-0.0329929880810355,0.0837348905561757,0.394225736528551
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34149,0.0367452078011346,0.0283575486854724,-0.0188355876223914,0.0923260032246606,0.195081362327239
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34149,-0.0285839658430429,0.0399365916794958,-0.106859685534855,0.0496917538487688,0.474173011058123
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34149,-0.041067789024579,0.0368802623079081,-0.113353103148079,0.0312175250989209,0.265502530402396
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34149,-0.0218384581146082,0.0222400843128524,-0.0654290233677988,0.0217521071385825,0.326153247627778
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34149,-0.00827004977660812,0.0207534044435084,-0.0489467224858847,0.0324066229326684,0.690276891253881
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34149,0.0214578110106261,0.0276984269955776,-0.0328311059007061,0.0757467279219583,0.438539262103238
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120040.Fatigue severity over the past week,34155,-0.0152127059966701,0.0267698827762775,-0.067681676238174,0.0372562642448339,0.56986011503095
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120041.Waking unrefreshed severity over the past week,34152,-0.0396437605558738,0.0265988667636821,-0.0917775394126908,0.0124900183009431,0.136143616927249
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120042.Cognitive symptoms severity over the past week,34152,-0.0357248802562771,0.02853121491942,-0.0916460614983403,0.0201963009857861,0.210551543165634
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120098.Mobility problems today,34159,0.00765568996368815,0.0315932581485769,-0.0542670960075226,0.0695784759348989,0.808537052924552
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120099.Self-care problems today,34159,-0.00140240206900581,0.0499544632882758,-0.0993131501140263,0.0965083459760147,0.977604020049014
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120100.Problems doing usual activities,34159,0.0208753457501708,0.0299318757953166,-0.0377911308086498,0.0795418223089913,0.485551326841007
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120101.Pain or discomfort today,34159,0.0243068393204676,0.0268511595509534,-0.028321433399401,0.0769351120403363,0.365358842546294
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120102.Anxiety or depression today,34159,-0.00433987667425434,0.0313639567845747,-0.0658132319720207,0.0571334786235121,0.88994971814211
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120103.Scale to indicate how health is today,34119,0.00147290999935224,0.00722133446682109,-0.0126809055556171,0.0156267255543216,0.83838400550216
WFDC12,WAP four-disulfide core domain protein 12,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,34134,-0.00564807242291493,0.0323220395683872,-0.0689992699769539,0.057703125131124,0.861284691752164
