Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
CRIM1,Cysteine-rich motor neuron 1 protein,Lifestyle factors,X1050.Time spend outdoors in summer,48956,-0.118802339337198,0.0535411708314406,-0.223743034166821,-0.0138616445075745,0.0265028635574571
CRIM1,Cysteine-rich motor neuron 1 protein,Lifestyle factors,X1060.Time spent outdoors in winter,45259,-0.0485592474977314,0.0609374306609322,-0.167996611593159,0.0708781165976958,0.425535274739352
CRIM1,Cysteine-rich motor neuron 1 protein,Physical activities,X1070.Time spent watching television (TV),50534,0.136403759393994,0.0544667680585125,0.0296488939993094,0.243158624788679,0.0122737730808547
CRIM1,Cysteine-rich motor neuron 1 protein,Physical activities,X1080.Time spent using computer,45221,-0.143560754286444,0.0568261605116938,-0.254940028889364,-0.0321814796835242,0.0115339912768352
CRIM1,Cysteine-rich motor neuron 1 protein,Physical activities,X1090.Time spent driving,42596,-0.23961956760577,0.0637509587092997,-0.364571446675998,-0.114667688535543,0.000171346276998212
CRIM1,Cysteine-rich motor neuron 1 protein,Lifestyle factors,X1160.Sleep duration,52067,-0.0190877213495051,0.0490532703831947,-0.115232131300567,0.0770566886015565,0.697188679042929
CRIM1,Cysteine-rich motor neuron 1 protein,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34136,-0.0103644905815632,0.00743764153214028,-0.0249422679845581,0.00421328682143177,0.163495054468417
CRIM1,Cysteine-rich motor neuron 1 protein,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34136,0.00296811385967903,0.0066811479821539,-0.0101269361853426,0.0160631639047007,0.656870272714511
CRIM1,Cysteine-rich motor neuron 1 protein,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34136,0.00649752194474906,0.00798283736701901,-0.00914883929460821,0.0221438831841063,0.415701396865194
CRIM1,Cysteine-rich motor neuron 1 protein,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34136,0.0252602046665114,0.00817466063170304,0.00923786982837344,0.0412825395046494,0.00200682416591738
CRIM1,Cysteine-rich motor neuron 1 protein,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34136,0.0221922807049373,0.00825636963993571,0.00600979621066336,0.0383747651992113,0.00720262612404084
CRIM1,Cysteine-rich motor neuron 1 protein,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34136,0.0173963943232672,0.0157648949536566,-0.0135027997858996,0.0482955884324341,0.269842116216438
