Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20604.Liking for asparagus,BGLAP,Osteocalcin,35381,-0.345564794108814,0.0271041334505699,-0.398688895671931,-0.292440692545697,8.29001924416127e-37
Diet and food preferences,X20604.Liking for asparagus,VWC2,Brorin,36528,-0.50742980278231,0.0477481852589145,-0.601016245889782,-0.413843359674837,3.34181187680071e-26
Diet and food preferences,X20604.Liking for asparagus,GFRA1,GDNF family receptor alpha-1,36689,-0.662368962247119,0.0698375058104493,-0.799250473635599,-0.525487450858638,3.14193918428558e-21
Diet and food preferences,X20604.Liking for asparagus,WFDC2,WAP four-disulfide core domain protein 2,36214,-0.493715169364938,0.0547376065898989,-0.60100087828114,-0.386429460448737,2.35391225291935e-19
Diet and food preferences,X20604.Liking for asparagus,CSF1,Macrophage colony-stimulating factor 1,36661,-0.646521494323194,0.0718430918609749,-0.787333954370705,-0.505709034275683,2.80041652185419e-19
Diet and food preferences,X20604.Liking for asparagus,PTGDS,Prostaglandin-H2 D-isomerase,36561,-0.560013705203401,0.0642979340977212,-0.686037656034934,-0.433989754371867,3.66510724812079e-18
Diet and food preferences,X20604.Liking for asparagus,NPC2,NPC intracellular cholesterol transporter 2,35253,-0.645637832706583,0.0762969809503387,-0.795179915369247,-0.496095750043919,3.19568040315723e-17
Diet and food preferences,X20604.Liking for asparagus,TGFBR2,TGF-beta receptor type-2,36666,-0.508194373746809,0.0604796624466168,-0.626734512142177,-0.38965423535144,5.10937615718107e-17
Diet and food preferences,X20604.Liking for asparagus,COL6A3,Collagen alpha-3(VI) chain,36725,-0.480777601459101,0.0574295218723615,-0.59333946432893,-0.368215738589272,6.63453094124482e-17
Diet and food preferences,X20604.Liking for asparagus,NECTIN4,Nectin-4,36666,-0.505960027017003,0.0607537067967641,-0.625037292338661,-0.386882761695345,9.57384135793168e-17
Diet and food preferences,X20604.Liking for asparagus,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,36621,-0.581806835697245,0.0706261359102031,-0.720234062081243,-0.443379609313247,2.03130320024931e-16
Diet and food preferences,X20604.Liking for asparagus,RELT,Tumor necrosis factor receptor superfamily member 19L,36621,-0.542207033496312,0.0666915384794643,-0.672922448916062,-0.411491618076563,4.93339300413192e-16
Diet and food preferences,X20604.Liking for asparagus,NBL1,Neuroblastoma suppressor of tumorigenicity 1,36666,-0.584516969722885,0.0719470431294472,-0.725533174256601,-0.443500765189168,5.16930944739439e-16
Diet and food preferences,X20604.Liking for asparagus,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,36707,-0.417233352910301,0.0514748232875562,-0.518124006553911,-0.316342699266691,6.01749066761175e-16
Diet and food preferences,X20604.Liking for asparagus,NPDC1,Neural proliferation differentiation and control protein 1,36614,-0.504522201608333,0.0622742821322336,-0.626579794587511,-0.382464608629155,6.22519710968899e-16
Diet and food preferences,X20604.Liking for asparagus,SPON1,Spondin-1,36634,-0.472621195309471,0.0583441658647587,-0.586975760404398,-0.358266630214544,6.27610685663712e-16
Diet and food preferences,X20604.Liking for asparagus,AREG,Amphiregulin,36567,-0.414886652326962,0.0513329742370736,-0.515499281831626,-0.314274022822297,7.29376737342746e-16
Diet and food preferences,X20604.Liking for asparagus,FBLN2,Fibulin-2,35381,-0.58159380558369,0.0722138916573849,-0.723133033232164,-0.440054577935216,9.41267095842796e-16
Diet and food preferences,X20604.Liking for asparagus,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,36556,-0.417722889859218,0.0529626546861589,-0.52152969304409,-0.313916086674347,3.50401289308594e-15
Diet and food preferences,X20604.Liking for asparagus,EPHB6,Ephrin type-B receptor 6,36542,-0.471429537402609,0.0599493833495753,-0.588930328767776,-0.353928746037441,4.21764243918194e-15
Diet and food preferences,X20604.Liking for asparagus,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,36621,-0.520752699514852,0.066571483783698,-0.6512328077309,-0.390272591298804,5.8407019497906e-15
Diet and food preferences,X20604.Liking for asparagus,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,36614,-0.455748165409282,0.0587302859127626,-0.570859525798297,-0.340636805020268,9.53990782188441e-15
Diet and food preferences,X20604.Liking for asparagus,EPHA2,Ephrin type-A receptor 2,36296,-0.49473136686492,0.0641285794923238,-0.620423382669874,-0.369039351059965,1.36537894660789e-14
Diet and food preferences,X20604.Liking for asparagus,CD27,CD27 antigen,36666,-0.346334375631312,0.0456841423968334,-0.435875294729105,-0.256793456533518,3.80881678894682e-14
Diet and food preferences,X20604.Liking for asparagus,LTBR,Tumor necrosis factor receptor superfamily member 3,36586,-0.508652231855797,0.0674075813690559,-0.640771091339147,-0.376533372372447,4.98656469345792e-14
Diet and food preferences,X20604.Liking for asparagus,CST3,Cystatin-C,36637,-0.526176193512439,0.0698941538853623,-0.663168735127749,-0.389183651897129,5.70344202598485e-14
Diet and food preferences,X20604.Liking for asparagus,EFNA4,Ephrin-A4,36542,-0.48504801607625,0.0644957016279955,-0.611459591267121,-0.358636440885379,6.04812746787083e-14
Diet and food preferences,X20604.Liking for asparagus,MANSC1,MANSC domain-containing protein 1,36666,-0.505964004750773,0.0675210798553686,-0.638305321267295,-0.37362268823425,7.42185951131062e-14
Diet and food preferences,X20604.Liking for asparagus,CHRDL1,Chordin-like protein 1,36647,-0.437780819285167,0.0587343468834668,-0.552900139176762,-0.322661499393572,1.00295871639922e-13
Diet and food preferences,X20604.Liking for asparagus,PLAUR,Urokinase plasminogen activator surface receptor,36561,-0.50835902354948,0.0682507149863285,-0.642130424922684,-0.374587622176277,1.04386375670998e-13
Diet and food preferences,X20604.Liking for asparagus,TAFA5,Chemokine-like protein TAFA-5,36567,-0.401720768665929,0.0539847616659163,-0.507530901531125,-0.295910635800733,1.10048883795506e-13
Diet and food preferences,X20604.Liking for asparagus,NELL2,Protein kinase C-binding protein NELL2,36661,-0.476358679782553,0.0640775502205829,-0.601950678214895,-0.350766681350211,1.16101547327305e-13
Diet and food preferences,X20604.Liking for asparagus,RGMB,RGM domain family member B,36706,-0.505147063694415,0.0683019175452053,-0.639018822083017,-0.371275305305812,1.54618308153513e-13
Diet and food preferences,X20604.Liking for asparagus,CD79B,B-cell antigen receptor complex-associated protein beta chain,36716,-0.300803145312462,0.0408843253592244,-0.380936423016542,-0.220669867608382,2.05826781430086e-13
Diet and food preferences,X20604.Liking for asparagus,AGRN,Agrin,36661,-0.410522849352488,0.0558296507762307,-0.5199489648739,-0.301096733831075,2.12628881120774e-13
Diet and food preferences,X20604.Liking for asparagus,CLEC14A,C-type lectin domain family 14 member A,36621,-0.438219318868897,0.0597275478287328,-0.555285312613213,-0.321153325124581,2.39855739315738e-13
Diet and food preferences,X20604.Liking for asparagus,CLEC4D,C-type lectin domain family 4 member D,36610,-0.217699695545686,0.0296999425923299,-0.275911583026653,-0.159487808064719,2.52669462577578e-13
Diet and food preferences,X20604.Liking for asparagus,FOLR1,Folate receptor alpha,36632,-0.481841571506499,0.0658370570609828,-0.610882203346025,-0.352800939666972,2.74599488147412e-13
Diet and food preferences,X20604.Liking for asparagus,IGFBP4,Insulin-like growth factor-binding protein 4,36524,-0.343001109148418,0.0469273118737795,-0.434978640421025,-0.25102357787581,2.94953585781752e-13
Diet and food preferences,X20604.Liking for asparagus,CKAP4,Cytoskeleton-associated protein 4,36679,-0.505379542282244,0.0693499258770086,-0.641305397001181,-0.369453687563307,3.45875920897698e-13
Diet and food preferences,X20604.Liking for asparagus,BTN2A1,Butyrophilin subfamily 2 member A1,36661,-0.540237717817092,0.0742948357900919,-0.685855595965672,-0.394619839668512,3.88761090717795e-13
Diet and food preferences,X20604.Liking for asparagus,SHISA5,Protein shisa-5,35381,-0.697267228378255,0.0963204267253955,-0.88605526476003,-0.50847919199648,5.01746057386825e-13
Diet and food preferences,X20604.Liking for asparagus,SPON2,Spondin-2,36583,-0.406950646216293,0.056356939999039,-0.51741024861441,-0.296491043818177,5.63802973769657e-13
Diet and food preferences,X20604.Liking for asparagus,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,36706,-0.290727500236537,0.040331522929542,-0.369777285178439,-0.211677715294635,6.16888724180368e-13
Diet and food preferences,X20604.Liking for asparagus,DLL1,Delta-like protein 1,36666,-0.451732671129549,0.0633335054001968,-0.575866341713935,-0.327599000545163,1.07022491969829e-12
Diet and food preferences,X20604.Liking for asparagus,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,36624,-0.363876194132639,0.0511068853434321,-0.464045689405766,-0.263706698859512,1.17341198064811e-12
Diet and food preferences,X20604.Liking for asparagus,RETN,Resistin,36602,-0.298619297338278,0.0422527985883488,-0.381434782571442,-0.215803812105115,1.710933383898e-12
Diet and food preferences,X20604.Liking for asparagus,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,36640,-0.425141891238245,0.0602160595510969,-0.543165367958395,-0.307118414518095,1.80032160376923e-12
Diet and food preferences,X20604.Liking for asparagus,CDH3,Cadherin-3,36706,-0.377740634072667,0.0535097297033401,-0.482619704291213,-0.27286156385412,1.81187638430784e-12
Diet and food preferences,X20604.Liking for asparagus,ALCAM,CD166 antigen,36725,-0.670837739407066,0.0955585825857674,-0.85813256127517,-0.483542917538962,2.39454333446366e-12
Diet and food preferences,X20604.Liking for asparagus,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,36695,-0.428459332304231,0.0612265073256062,-0.548463286662419,-0.308455377946043,2.80502681447697e-12
Diet and food preferences,X20604.Liking for asparagus,BSG,Basigin,36707,-0.674908097862997,0.0970794412207275,-0.865183802655623,-0.484632393070371,3.87772182996837e-12
Diet and food preferences,X20604.Liking for asparagus,SORCS2,VPS10 domain-containing receptor SorCS2,36437,-0.391781688239502,0.0563860389654712,-0.502298324611826,-0.281265051867179,3.99650210552453e-12
Diet and food preferences,X20604.Liking for asparagus,FSTL3,Follistatin-related protein 3,36616,-0.435311807010796,0.0629559145753864,-0.558705399578553,-0.311918214443039,5.05420476820892e-12
Diet and food preferences,X20604.Liking for asparagus,WNT9A,Protein Wnt-9a,36493,-0.447839995475677,0.0652832406056758,-0.575795147062802,-0.319884843888553,7.40915850570002e-12
Diet and food preferences,X20604.Liking for asparagus,COLEC12,Collectin-12,36624,-0.502181999509306,0.073456919369815,-0.646157561474143,-0.358206437544468,8.71522320900168e-12
Diet and food preferences,X20604.Liking for asparagus,HGF,Hepatocyte growth factor,36716,-0.356908910573986,0.0522194111868835,-0.459258956500278,-0.254558864647695,8.80674058437294e-12
Diet and food preferences,X20604.Liking for asparagus,PGF,Placenta growth factor,36716,-0.522691170958303,0.0765524397637459,-0.672733952895245,-0.372648389021361,9.2388541485784e-12
Diet and food preferences,X20604.Liking for asparagus,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,36556,-0.309834888789729,0.0455396208923088,-0.399092545738655,-0.220577231840804,1.09412155476683e-11
Diet and food preferences,X20604.Liking for asparagus,IL19,Interleukin-19,36424,-0.179098042242176,0.0263413227797928,-0.23072703489057,-0.127469049593782,1.13000397749069e-11
Diet and food preferences,X20604.Liking for asparagus,TFF3,Trefoil factor 3,36619,-0.385126160898841,0.0566488413944703,-0.496157890032003,-0.274094431765679,1.13309963120118e-11
Diet and food preferences,X20604.Liking for asparagus,FCER2,Low affinity immunoglobulin epsilon Fc receptor,36621,-0.234170000048871,0.034493927724546,-0.301778098388981,-0.166561901708761,1.21188706604902e-11
Diet and food preferences,X20604.Liking for asparagus,DSC2,Desmocollin-2,36500,-0.378139986537289,0.0558094616261532,-0.487526531324549,-0.268753441750029,1.32835464151234e-11
Diet and food preferences,X20604.Liking for asparagus,SERPINA11,Serpin A11,36725,-0.293049564985171,0.0433633626400603,-0.378041755759689,-0.208057374210653,1.49574029739514e-11
