Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ADGRE2,Adhesion G protein-coupled receptor E2,52044,0.0101486218065609,0.00231599833174308,0.00560926507634449,0.0146879785367774,1.18124678203112e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GATA3,Trans-acting T-cell-specific transcription factor GATA-3,48131,0.00865163381729709,0.00216445306850019,0.00440930580303672,0.0128939618315575,6.434637221851e-05
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SEPTIN8,Septin-8,48756,0.010300249786421,0.0026814422822544,0.00504462291320234,0.0155558766596396,0.000122754392206942
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,48778,-0.0248764407006828,0.00672594372937561,-0.038059290410259,-0.0116935909911066,0.00021738405072988
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GIPC2,PDZ domain-containing protein GIPC2,48794,0.00908119266195058,0.00249726420654249,0.0041865548171273,0.0139758305067739,0.00027710166694139
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL3,Interleukin-3,48131,0.0179260511532647,0.00494956351866742,0.00822490665667651,0.0276271956498528,0.000293364867533241
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ADGRE5,Adhesion G protein-coupled receptor E5,52138,0.00884890273681348,0.00250582264808003,0.00393749034657661,0.0137603151270503,0.000414255843757951
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TXN,Thioredoxin,48543,0.0123443755543671,0.00351601559516015,0.00545298498785318,0.019235766120881,0.000447580090006105
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,51121,0.0178049256948107,0.00507780257451598,0.00785243264875934,0.027757418740862,0.000455055829139636
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CD163,Scavenger receptor cysteine-rich type 1 protein M130,52074,0.0122101094308971,0.00349949340356211,0.00535110235991535,0.0190691165018788,0.00048552389338334
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL14,C-X-C motif chemokine 14,51550,-0.0165206396139599,0.00473893953728952,-0.0258089611070474,-0.00723231812087245,0.000490947313055641
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LGALS4,Galectin-4,51928,0.0156545292066347,0.00452498533983887,0.00678555794055047,0.0245235004727188,0.000541993729931769
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NAP1L4,Nucleosome assembly protein 1-like 4,48734,0.0113231958001558,0.00327906920914308,0.00489622015023534,0.0177501714500762,0.000555170927370578
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SLC4A1,Band 3 anion transport protein,48854,0.0134548139714117,0.00392307846306366,0.00576558018380692,0.0211440477590165,0.000605548415121143
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL19,Interleukin-19,51375,0.0199657741909959,0.00592783247574522,0.00834722253853527,0.0315843258434565,0.000758022914623958
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ENTR1,Endosome-associated-trafficking regulator 1,48283,0.0167777589942499,0.00498974157104584,0.00699786551500002,0.0265576524734997,0.000774011190915203
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,APCS,Serum amyloid P-component,48688,-0.00875381586632132,0.00261692586269028,-0.0138829905571943,-0.00362464117544837,0.000824106216795501
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DNAJC9,DnaJ homolog subfamily C member 9,48778,0.0205942353578191,0.00616394272748712,0.00851290761194429,0.0326755631036938,0.000836041263267983
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL8,Interleukin-8,51802,0.0186773848482835,0.00560384683620446,0.00769384504932281,0.0296609246472443,0.000860623475070433
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",51847,0.0119113143414858,0.00361463039504071,0.00482663876720602,0.0189959899157656,0.000984615620893297
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CENPF,Centromere protein F,48486,0.0146080719385174,0.00444612693979583,0.0058936631365176,0.0233224807405173,0.0010195148636924
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GOT1,"Aspartate aminotransferase, cytoplasmic",48854,0.011368518688231,0.00348628316729097,0.00453540368034067,0.0182016336961213,0.00111231673461563
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PDCD5,Programmed cell death protein 5,52166,0.0151071404897375,0.00469169119082186,0.00591142575572662,0.0243028552237483,0.00128374348195262
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSME2,Proteasome activator complex subunit 2,51659,0.00931482884698723,0.00290519464671213,0.00362064733943145,0.015009010354543,0.00134652620288018
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SH3GLB2,Endophilin-B2,48794,0.0171113347228734,0.00538937594835378,0.00654815786410002,0.0276745115816468,0.0015005515792346
