Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X1488.Tea intake,CDHR2,Cadherin-related family member 2,51326,-0.0524856215540518,0.00483921919394953,-0.0619704911741929,-0.0430007519339107,2.4340021490676e-27
Diet and food preferences,X1488.Tea intake,CPQ,Carboxypeptidase Q,48349,0.0255024549502145,0.00267458263107143,0.0202602729933145,0.0307446369071145,1.66561025771535e-21
Diet and food preferences,X1488.Tea intake,STC1,Stanniocalcin-1,51641,-0.0308869766812851,0.00336431501450963,-0.0374810341097239,-0.0242929192528462,4.6310353591759e-20
Diet and food preferences,X1488.Tea intake,KITLG,Kit ligand,51444,0.024847331696683,0.00278271437741401,0.0193932115169516,0.0303014518764145,4.60860342540239e-19
Diet and food preferences,X1488.Tea intake,VWC2,Brorin,51164,0.0263044202969412,0.00295073367461682,0.0205209822946922,0.0320878582991902,5.26201939000999e-19
Diet and food preferences,X1488.Tea intake,CRTAC1,Cartilage acidic protein 1,51727,0.0193823072725768,0.00226847287964704,0.0149361004284686,0.023828514116685,1.37292446374381e-17
Diet and food preferences,X1488.Tea intake,SOST,Sclerostin,51413,0.0242592714228321,0.00286196395416987,0.0186498220726592,0.0298687207730051,2.46054641787524e-17
Diet and food preferences,X1488.Tea intake,CCN3,CCN family member 3,51682,0.0203386808408042,0.00246211453785617,0.0155129363466061,0.0251644253350023,1.5257668232109e-16
Diet and food preferences,X1488.Tea intake,MIF,Macrophage migration inhibitory factor,51397,0.0401666360497724,0.0049096456687554,0.0305437305390118,0.049789541560533,2.95662344928362e-16
Diet and food preferences,X1488.Tea intake,IGSF9,Protein turtle homolog A,48374,-0.0500409946309573,0.00623191335281293,-0.0622555448024706,-0.0378264444594439,1.03058418574341e-15
Diet and food preferences,X1488.Tea intake,CES1,Liver carboxylesterase 1,51507,-0.0475390480049812,0.00620416952571989,-0.0596992202753922,-0.0353788757345702,1.8966303328536e-14
Diet and food preferences,X1488.Tea intake,NBL1,Neuroblastoma suppressor of tumorigenicity 1,51495,0.015147385772051,0.00198722971235725,0.0112524155358308,0.0190423560082712,2.58735189206003e-14
Diet and food preferences,X1488.Tea intake,COLEC12,Collectin-12,51401,0.0148934949312462,0.00196684431727592,0.0110384800693854,0.018748509793107,3.80643903946291e-14
Diet and food preferences,X1488.Tea intake,PRND,Prion-like protein doppel,48330,0.0261196884800903,0.00356155326368488,0.0191390440832679,0.0331003328769126,2.32382363430573e-13
Diet and food preferences,X1488.Tea intake,CXCL17,C-X-C motif chemokine 17,51705,0.0232211175982651,0.00317213441298781,0.017003734148809,0.0294385010477212,2.55421358322422e-13
Diet and food preferences,X1488.Tea intake,LRRC25,Leucine-rich repeat-containing protein 25,51326,0.020899970529229,0.00286769201999765,0.0152792941700336,0.0265206468884244,3.246727844083e-13
Diet and food preferences,X1488.Tea intake,NUDT15,Nucleotide triphosphate diphosphatase NUDT15,47696,-0.0270362121771525,0.00372139830808036,-0.0343301528609901,-0.019742271493315,3.8720355271168e-13
Diet and food preferences,X1488.Tea intake,MAMDC4,Apical endosomal glycoprotein,48309,-0.0300468854071958,0.00414261191392632,-0.0381664047584914,-0.0219273660559002,4.22344123145866e-13
Diet and food preferences,X1488.Tea intake,MIA,Melanoma-derived growth regulatory protein,51495,0.0195399208337758,0.00270309448279423,0.0142418556474991,0.0248379860200524,5.02858427444109e-13
