Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CAT,Catalase,47182,0.0284667188616089,0.00441002835185645,0.0198230632919702,0.0371103744312475,1.10897771852927e-10
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSME2,Proteasome activator complex subunit 2,50128,0.0179510642898084,0.00298067687195737,0.0121089376207719,0.0237931909588448,1.7455192714239e-09
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMG4,Proteasome assembly chaperone 4,46877,0.0266888887241921,0.00474342145808801,0.0173917826663396,0.0359859947820446,1.86591236018008e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CENPF,Centromere protein F,47094,0.0251781648934277,0.00452984912407473,0.0162996606102412,0.0340566691766142,2.76209271237312e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,SLC4A1,Band 3 anion transport protein,47451,0.022086259191248,0.00401842995219358,0.0142101364849486,0.0299623818975474,3.93001588531134e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,TGM2,Protein-glutamine gamma-glutamyltransferase 2,50383,0.034101403708793,0.00621076219987672,0.0219283097970347,0.0462744976205514,4.04824499443302e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,UBAC1,Ubiquitin-associated domain-containing protein 1,50304,0.0152018317112482,0.00277985677215793,0.00975331243781864,0.0206503509846777,4.58694732522442e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,SEPTIN8,Septin-8,47347,0.014687823224733,0.00275395880097841,0.00929006397481528,0.0200855824746507,9.75355672364606e-08
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSME1,Proteasome activator complex subunit 1,50182,0.0162713755505734,0.00306090719584136,0.0102719974467243,0.0222707536544225,1.0720540939348e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,50419,0.0282097690630931,0.00536826440492166,0.0176879708294467,0.0387315672967396,1.49485122111049e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,SH3GLB2,Endophilin-B2,47385,0.0286138851616347,0.00551757385997898,0.0177994403960759,0.0394283299271936,2.17141440006433e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ADD1,Alpha-adducin,47003,0.0299550205141617,0.00580063636422384,0.0185857732402829,0.0413242677880404,2.44126097378562e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PRDX2,Peroxiredoxin-2,47123,0.0261464969532093,0.00509635068168629,0.0161576496171042,0.0361353442893144,2.91990423973527e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PDCD5,Programmed cell death protein 5,50604,0.0246125208250092,0.00483915334723244,0.0151277802644336,0.0340972613855847,3.68460606764021e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,NSFL1C,NSFL1 cofactor p47,50604,0.0269818665464013,0.00531738712548294,0.0165597877804547,0.0374039453123479,3.92147697937247e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PKLR,Pyruvate kinase PKLR,50418,0.0271810386623613,0.00535844892946127,0.0166784787606172,0.0376835985641054,3.95721454972587e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,BOLA2_BOLA2B,BolA-like protein 2,46914,0.0221645180583504,0.00439547878773549,0.0135493796343889,0.030779656482312,4.63700825637985e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",50539,0.0291372169032458,0.00582520480299847,0.0177198154893688,0.0405546183171228,5.71998299151481e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DDI2,Protein DDI1 homolog 2,47003,0.0311366259488834,0.0062747153869978,0.0188381837903677,0.0434350681073991,7.03079477407855e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DNAJB2,DnaJ homolog subfamily B member 2,47003,0.021868122802072,0.00442019100179494,0.0132045484385539,0.0305316971655901,7.59041074488839e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,GOT1,"Aspartate aminotransferase, cytoplasmic",47451,0.0175513803033335,0.00357411020613437,0.0105461242993102,0.0245566363073569,9.1511763643524e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",50412,0.0190368113266774,0.0038786526929169,0.0114346520485603,0.0266389706047946,9.26270053118544e-07
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ATXN3,Ataxin-3,47385,0.0250894709759057,0.00513343434854144,0.0150279396527645,0.0351510022990469,1.02985980895319e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,YOD1,Ubiquitin thioesterase OTU1,46784,0.0250762803434224,0.00513720348275401,0.0150073615172246,0.0351451991696203,1.06277207562629e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,STIP1,Stress-induced-phosphoprotein 1,50366,0.0262862153338188,0.00539768512826252,0.0157067524824242,0.0368656781852133,1.12435093898107e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PPME1,Protein phosphatase methylesterase 1,50304,0.023779399447014,0.00491143331335269,0.0141529901528427,0.0334058087411853,1.29656823854672e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMG3,Proteasome assembly chaperone 3,50393,0.0202337492881998,0.00420170692187478,0.0119984037213253,0.0284690948550744,1.47741400853976e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PEBP1,Phosphatidylethanolamine-binding protein 1,50412,0.0228588527386582,0.00475404737086649,0.0135409198917599,0.0321767855855566,1.5323918153618e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,AMPD3,AMP deaminase 3,47385,0.0278747971641106,0.00582275177652045,0.0164622036821305,0.0392873906460906,1.70394299312907e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,TXN,Thioredoxin,47144,0.0173593361345875,0.00363627651136373,0.0102322341723145,0.0244864380968604,1.82041982915389e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DNAJC9,DnaJ homolog subfamily C member 9,47373,0.030175124735349,0.00632747018405697,0.0177732831745973,0.0425769662961007,1.86617281113842e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,AARSD1,Alanyl-tRNA editing protein Aarsd1,50304,0.0217740502373916,0.00457332504986107,0.0128103331396639,0.0307377673351193,1.93783869103199e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CA2,Carbonic anhydrase 2,50343,0.0268059567949664,0.00564117881550818,0.0157492463165703,0.0378626672733624,2.02865701869681e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CXCL8,Interleukin-8,50266,0.0271573586692403,0.00573422667874941,0.0159182743788914,0.0383964429595891,2.19345849817049e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PTGR1,Prostaglandin reductase 1,47429,0.0323627843559794,0.00685472690495688,0.0189275196222639,0.0457980490896948,2.36103217050569e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,50448,0.0199153166236168,0.00422222587080233,0.0116397539168443,0.0281908793303894,2.41085490317689e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CLNS1A,Methylosome subunit pICln,46931,0.0134204793270218,0.0028574167659418,0.00781994246577586,0.0190210161882677,2.66292048823973e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,UROD,Uroporphyrinogen decarboxylase,47003,0.0260552384722023,0.00562388745360191,0.0150324190631426,0.0370780578812621,3.62945758522687e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CXCL14,C-X-C motif chemokine 14,50031,-0.0224648510865109,0.0048656670321749,-0.0320015584695737,-0.0129281437034481,3.91560689925613e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CA3,Carbonic anhydrase 3,50653,0.0229797565032363,0.00497989369903484,0.013219164853128,0.0327403481533446,3.96245849575104e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DNPEP,Aspartyl aminopeptidase,47385,0.0217182351810766,0.00470709333851529,0.0124923322375866,0.0309441381245665,3.97720794721836e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,RILP,Rab-interacting lysosomal protein,50539,0.0228752582695551,0.00495836914853769,0.0131568547384212,0.0325936618006889,3.98250613230204e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMD1,26S proteasome non-ATPase regulatory subunit 1,47394,0.0190132500694913,0.00412219915543955,0.0109337397248298,0.0270927604141528,4.00661886503633e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ADGRE2,Adhesion G protein-coupled receptor E2,50493,0.0109803720122858,0.00238289982077296,0.0063098883635708,0.0156508556610008,4.08877679233667e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ST13,Hsc70-interacting protein,47003,0.0206318271107384,0.00454032389983558,0.0117327922670607,0.0295308619544162,5.55131004441007e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ALDH1A1,Retinal dehydrogenase 1,50412,0.0202297726284024,0.004468954872735,0.0114706210778418,0.028988924178963,6.02186692109691e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,IGBP1,Immunoglobulin-binding protein 1,47394,0.0222256527342579,0.00502372996521711,0.0123791420024324,0.0320721634660835,9.73741893497364e-06
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,MDH1,"Malate dehydrogenase, cytoplasmic",47350,0.0146312302637461,0.00331616089207138,0.00813155491528616,0.021130905612206,1.02943904504536e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ACYP1,Acylphosphatase-1,46937,0.0239720670177684,0.00544045670589965,0.0133087718742051,0.0346353621613317,1.05767125802222e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,RBKS,Ribokinase,49896,0.0185619371507098,0.00422327592913484,0.0102843163296055,0.0268395579718141,1.1123075439343e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,AK1,Adenylate kinase isoenzyme 1,50419,0.0229904555693377,0.00523422462676184,0.0127313753008845,0.0332495358377909,1.1266881468597e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,NAP1L4,Nucleosome assembly protein 1-like 4,47329,0.0147557221363032,0.00336221660716426,0.00816577758626127,0.0213456666863452,1.14659684099437e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PARK7,Parkinson disease protein 7,50412,0.018600327436288,0.00426183826091581,0.010247124444893,0.026953530427683,1.2806331204121e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,RANBP1,Ran-specific GTPase-activating protein,46914,0.0187060630523861,0.0043194946886686,0.0102398534625956,0.0271722726421765,1.49484523346875e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ATG4A,Cysteine protease ATG4A,49898,0.0213925503598592,0.00494969511203601,0.0116911479402687,0.0310939527794498,1.55326755451701e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,50416,0.0212781247132667,0.00494341865643682,0.0115890241466505,0.0309672252798828,1.68218670126351e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,LXN,Latexin,50115,0.024704761316757,0.00578731872754566,0.0133616166107675,0.0360479060227465,1.97390800763418e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,IMPACT,Protein IMPACT,47385,0.0193458071392481,0.00453960569012267,0.0104481799866076,0.0282434342918885,2.03992923455822e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,DNAJA4,DnaJ homolog subfamily A member 4,47385,0.0247175256039639,0.00582250673388202,0.0133054124055552,0.0361296388023727,2.19477379819849e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,NUDT5,ADP-sugar pyrophosphatase,50412,0.0177014608660002,0.00418146335945247,0.00950579268147334,0.025897129050527,2.31211167199672e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CCS,Copper chaperone for superoxide dismutase,50222,0.0164825291945365,0.00389588646896842,0.00884659171535839,0.0241184666737146,2.33870226708391e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,MYL4,Myosin light chain 4,46914,0.0187486347721301,0.00443746440551288,0.0100512045373248,0.0274460650069353,2.40012945019718e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ARG1,Arginase-1,50249,0.0180046417025724,0.0042981033704918,0.0095803590964085,0.0264289243087363,2.81328310951564e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,MIF,Macrophage migration inhibitory factor,50366,0.0229246494989913,0.00559109776525921,0.0119660978790832,0.0338832011188994,4.1428172656631e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,C9orf40,Uncharacterized protein C9orf40,47373,0.0267580700855998,0.00653522702417213,0.0139490251182224,0.0395671150529771,4.24968674657575e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,ATP6V1F,V-type proton ATPase subunit F,49889,0.0230223350975956,0.00562549027565755,0.0119963741573068,0.0340482960378844,4.28314300474888e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,SF3B4,Splicing factor 3B subunit 4,50304,0.0251527962786613,0.00618654682397752,0.0130271645036654,0.0372784280536572,4.80522205919094e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PPCDC,Phosphopantothenoylcysteine decarboxylase,50604,0.0158497696666621,0.00390110207022149,0.00820360960902797,0.0234959297242962,4.8635822530428e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,FUT8,"Alpha-(1,6)-fucosyltransferase",50222,0.0193872261794096,0.00483348575154414,0.00991359410638308,0.0288608582524361,6.0659226475991e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,SOD1,Superoxide dismutase [Cu-Zn],49986,0.0161020591782652,0.0040313263568327,0.00820065951887311,0.0240034588376573,6.51209320228766e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,TRIM21,E3 ubiquitin-protein ligase TRIM21,50393,0.0245037609350919,0.00613498329667681,0.0124791936736054,0.0365283281965785,6.51524871703193e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PTS,6-pyruvoyl tetrahydrobiopterin synthase,49823,0.0183702064162705,0.00460739817615384,0.00933970599100898,0.027400706841532,6.71067339584548e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,50222,0.0142416353375777,0.0035792958342634,0.00722621550242141,0.0212570551727339,6.94626022828734e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,KYAT1,Kynurenine--oxoglutarate transaminase 1,50388,0.0189330538690119,0.00476893991211937,0.00958593164125788,0.0282801760967658,7.20802262216824e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,46877,0.0158191606313371,0.00398789973176517,0.00800287715707737,0.0236354441055968,7.31249351662288e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,GMPR,GMP reductase 1,50663,0.0157898267007678,0.00399105846190447,0.00796735211543509,0.0236123012861006,7.63574041969759e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,PSMD9,26S proteasome non-ATPase regulatory subunit 9,50304,0.0182293752837355,0.00461670561677042,0.00918063227486549,0.0272781182926055,7.88681991155496e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,CXCL17,C-X-C motif chemokine 17,50663,-0.0142829732813476,0.00362181484717135,-0.0213817303818035,-0.0071842161808918,8.05169054696262e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,AHSP,Alpha-hemoglobin-stabilizing protein,50376,0.0268491388889361,0.00683919004301392,0.0134443264046288,0.0402539513732433,8.67159855238516e-05
Working and living environment,X24007.Particulate matter air pollution (pm2.5) absorbance; 2010,STAMBP,STAM-binding protein,50190,0.020564149548656,0.00529450154779803,0.0101869265149718,0.0309413725823401,0.000103033666480358
