Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,18058,46,4.76 [3.06-7.38],3.5180722934580724e-12
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",ATRAID,All-trans retinoic acid-induced differentiation factor,18527,45,3.26 [2.24-4.75],7.467420013182892e-10
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",B2M,Beta-2-microglobulin,18649,47,2.24 [1.67-3.01],7.707779562558867e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",B4GALT1,"Beta-1,4-galactosyltransferase 1",21457,59,5.82 [3.07-11.00],6.22517241503467e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",CCN3,CCN family member 3,21595,58,3.58 [2.26-5.67],5.147837655834351e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",CFD,Complement factor D,18649,47,6.50 [3.45-12.24],6.709403528998304e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",18582,45,2.76 [1.94-3.92],1.6889914120081317e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",CHGA,Chromogranin-A,18623,45,1.72 [1.41-2.10],8.69045647344421e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",CKAP4,Cytoskeleton-associated protein 4,21475,58,4.07 [2.61-6.34],6.087912390283125e-10
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",COL6A3,Collagen alpha-3(VI) chain,21632,58,3.30 [2.14-5.09],6.971440205662121e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",CSF1,Macrophage colony-stimulating factor 1,21457,59,7.48 [3.91-14.33],1.3078548839106467e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",DLL1,Delta-like protein 1,21452,59,5.45 [3.07-9.65],6.2246032043555555e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",DTNB,Dystrobrevin beta,18490,46,2.87 [2.00-4.11],9.491804592073852e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",EDA2R,Tumor necrosis factor receptor superfamily member 27,21527,58,3.06 [2.06-4.53],2.5047687139929816e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",EPHA2,Ephrin type-A receptor 2,20608,56,4.03 [2.53-6.43],4.460160851970073e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",EPHB4,Ephrin type-B receptor 4,21632,58,5.90 [3.36-10.36],6.353185244642924e-10
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",FBLN2,Fibulin-2,18623,45,5.54 [2.98-10.31],6.387712644391127e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",HPGDS,Hematopoietic prostaglandin D synthase,20886,55,0.17 [0.09-0.31],7.307148194027062e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,18058,46,4.29 [2.67-6.90],1.8843297656330404e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",IGFBP4,Insulin-like growth factor-binding protein 4,21118,58,2.47 [1.79-3.41],3.1512113682160086e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",IL18BP,Interleukin-18-binding protein,21485,58,4.47 [2.64-7.58],2.705236069786885e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",IL4R,Interleukin-4 receptor subunit alpha,21311,58,2.97 [2.06-4.28],4.829358443646752e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",LTBR,Tumor necrosis factor receptor superfamily member 3,21265,59,6.27 [3.77-10.43],1.4460328067886293e-12
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",MYLPF,"Myosin regulatory light chain 2, skeletal muscle isoform",18117,42,2.16 [1.66-2.81],1.1586365109174104e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,18527,45,4.73 [2.79-8.01],7.777387407495848e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",NECTIN2,Nectin-2,21328,58,4.89 [2.87-8.33],5.588128789223287e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",OCLN,Occludin,18580,46,2.79 [1.92-4.04],5.967108394763239e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",PALM2,Paralemmin-2,18582,45,3.55 [2.29-5.51],1.6732444758546317e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",PGF,Placenta growth factor,21570,58,4.43 [2.64-7.42],1.6338563496553495e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",RBFOX3,RNA binding protein fox-1 homolog 3,18580,46,2.46 [1.82-3.32],4.156723630830105e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",REG3A,Regenerating islet-derived protein 3-alpha,21632,58,2.11 [1.61-2.77],7.652134287879808e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",RNASE1,Ribonuclease pancreatic,18630,46,3.82 [2.51-5.80],3.6056710010850736e-10
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",SMOC1,SPARC-related modular calcium-binding protein 1,21527,58,3.96 [2.45-6.40],1.838331758553145e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",TGFBR2,TGF-beta receptor type-2,21452,59,3.47 [2.31-5.21],1.9338049025779464e-09
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",TNFRSF14,Tumor necrosis factor receptor superfamily member 14,21392,59,4.29 [2.52-7.29],7.75773251433048e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",TNFRSF19,Tumor necrosis factor receptor superfamily member 19,21527,58,3.48 [2.26-5.37],1.5875261378389267e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,21383,58,4.09 [2.50-6.69],2.1742589118169857e-08
Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",YAP1,Transcriptional coactivator YAP1,18582,45,4.41 [2.64-7.39],1.6127613198241675e-08
