Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,ACE2,Angiotensin-converting enzyme 2,20350,64,1.67 [1.20-2.33],0.0025264902199641
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,20904,67,0.46 [0.28-0.77],0.0032981267113398
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,AREG,Amphiregulin,20639,65,2.13 [1.42-3.20],0.0002470885825411
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,ASGR1,Asialoglycoprotein receptor 1,20577,64,2.78 [1.56-4.94],0.0005016861855088
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,B4GALT1,"Beta-1,4-galactosyltransferase 1",20823,64,2.84 [1.39-5.81],0.0042631257870643
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,BPIFA2,BPI fold-containing family A member 2,16940,54,0.70 [0.54-0.90],0.0063822510156471
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,BSG,Basigin,20958,66,3.76 [1.49-9.51],0.0051905731325742
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,20935,67,0.63 [0.47-0.85],0.002753347291157
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,CALY,Neuron-specific vesicular protein calcyon,17397,53,1.84 [1.31-2.60],0.0005020032034747
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,CCL21,C-C motif chemokine 21,20823,64,1.72 [1.17-2.52],0.0059263009882795
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,CD302,CD302 antigen,20639,65,2.97 [1.78-4.96],3.119117662494211e-05
